chr	cell	z	score	p	p.adj	monosomy
E4.6	14	E4.1.1	12.1147193450393	2.51180376160078	1.31326597945295e-24	4.02078267375844e-22	FALSE
E4.24	10	E4.1.2	4.25879878816776	1.25144449041378	3.43247761448186e-05	0.000788182672225398	FALSE
E4.35	20	E4.1.2	-3.05570022707493	0.741340816755937	0.00261697882376172	0.0372665899166688	TRUE
E4.45	1	E4.1.3	-8.77666968281312	0.557307003334889	1.97032703965021e-15	2.06828044104996e-13	TRUE
E4.46	10	E4.1.3	14.2899635830869	1.91613376536494	1.01576891665075e-30	3.73193499977487e-28	FALSE
E4.49	13	E4.1.3	5.51989877164383	1.62316337169872	1.28339395666031e-07	3.74221380696029e-06	FALSE
E4.50	14	E4.1.3	5.24439693436209	1.66600184896203	4.72311726474652e-07	1.35568225239677e-05	FALSE
E4.51	15	E4.1.3	-4.07337975564364	0.781593621151811	7.16254740598889e-05	0.0015479528923296	TRUE
E4.53	17	E4.1.3	-6.51251539875985	0.610592195802048	8.4253808784311e-10	3.00532517935494e-08	TRUE
E4.54	18	E4.1.3	2.80307438023002	1.24742494181779	0.00566484056712242	0.0691449310418863	FALSE
E4.55	19	E4.1.3	-3.23661414219153	0.492991826564889	0.00146032660952228	0.0224487027756688	TRUE
E4.56	2	E4.1.3	6.41012837040358	1.53492037487138	1.44665897411944e-09	5.06192863896649e-08	FALSE
E4.63	6	E4.1.3	14.9084585036096	2.03790552129455	1.91445373298501e-32	8.79212876873368e-30	FALSE
E4.65	8	E4.1.3	8.49867612704109	1.56933127250631	1.05503871360843e-14	8.80957325863039e-13	FALSE
E4.68	10	E4.1.4	30.0133046009851	2.95800042339154	5.82932447353199e-69	2.14169381157565e-65	FALSE
E4.69	11	E4.1.4	5.76750325065112	1.45788253341596	3.83928286277618e-08	1.21047379559473e-06	FALSE
E4.72	14	E4.1.4	3.32414218226832	1.42960025890703	0.00109140855321619	0.0172837716573977	FALSE
E4.74	16	E4.1.4	5.66082800511673	1.46950570412588	6.48348901288066e-08	1.98502821944363e-06	FALSE
E4.75	17	E4.1.4	-5.81604899396089	0.652016988213725	3.01876291307344e-08	9.64429125446247e-07	TRUE
E4.77	19	E4.1.4	-3.63300895134228	0.423605117746305	0.000373095798976416	0.00688603348339381	TRUE
E4.79	20	E4.1.4	-4.72506753434383	0.605240325404154	4.87726419501659e-06	0.000124437976753409	TRUE
E4.83	4	E4.1.4	14.7367990939019	2.32669525749459	5.75100186320296e-32	2.34768676060085e-29	FALSE
E4.88	9	E4.1.4	-4.95506936840301	0.595226825787536	1.76968128544508e-06	4.78074194318032e-05	TRUE
E4.90	10	E4.1.7	4.34537311642037	1.25718111508819	2.41529660694377e-05	0.000568833316276374	FALSE
E4.91	11	E4.1.7	-3.24010531300774	0.742562695344377	0.00144362426059696	0.0224487027756688	TRUE
E4.93	13	E4.1.7	3.62220442326069	1.3963522726315	0.000387832718800703	0.00708904183519295	FALSE
E4.94	14	E4.1.7	2.69225144371289	1.35180851009212	0.0078246475385216	0.0876455946845377	FALSE
E4.96	16	E4.1.7	-4.3009124138786	0.664820769273216	2.89488836975352e-05	0.000673153156359142	TRUE
E4.97	17	E4.1.7	-5.67176066345869	0.660599044860386	6.14622498035382e-08	1.89758240149747e-06	TRUE
E4.98	18	E4.1.7	5.17550189490843	1.47437851824038	6.49806477158795e-07	1.83645307467801e-05	FALSE
E4.99	19	E4.1.7	-3.95155864411073	0.367844764012794	0.000114638264643208	0.00235296639273266	TRUE
E4.101	20	E4.1.7	-3.56520074009654	0.699802163240749	0.000475106938251546	0.00843257435331488	TRUE
E4.103	22	E4.1.7	-2.76992746896785	0.535189772193987	0.00624575646835358	0.0740020199472508	TRUE
E4.105	4	E4.1.7	4.28266721905487	1.38145011725787	3.11705724631008e-05	0.000720255869367498	FALSE
E4.106	5	E4.1.7	3.22904186651756	1.25133095008159	0.00149717308174768	0.0229192245930874	FALSE
E4.109	8	E4.1.7	7.62511203306981	1.51126915083303	1.78913078947056e-12	9.25812185988007e-11	FALSE
E4.110	9	E4.1.7	-3.63170036599983	0.693800865902524	0.00037485212212269	0.00688603348339381	TRUE
E4.112	10	E4.10.1219	7.16083613655988	1.44374051389861	2.47460651851282e-11	1.04502348839266e-09	FALSE
E4.113	11	E4.10.1219	-4.71027248641756	0.625812534967237	5.20003062032831e-06	0.000131758017235077	TRUE
E4.114	12	E4.10.1219	8.22676397890371	1.32426163136275	5.34102060667103e-14	3.63387216831655e-12	FALSE
E4.115	13	E4.10.1219	3.12217714830603	1.33658936302876	0.00211822956069232	0.0312545197027453	FALSE
E4.117	15	E4.10.1219	7.37694296522374	1.38748842768237	7.35656760990888e-12	3.51013368815652e-10	FALSE
E4.118	16	E4.10.1219	-3.9939200649454	0.689618857550093	9.74568016633943e-05	0.00204603593892178	TRUE
E4.119	17	E4.10.1219	4.93277449218613	1.29134112289604	1.95521464721134e-06	5.24340044806895e-05	FALSE
E4.120	18	E4.10.1219	-2.84411907098589	0.707197372134821	0.00501382128197256	0.0624433199659904	TRUE
E4.121	19	E4.10.1219	-2.706913124236	0.585713046533765	0.00750149869099785	0.0846549266024475	TRUE
E4.122	2	E4.10.1219	-4.14422155973939	0.652271583149096	5.42279546126377e-05	0.00122983645214093	TRUE
E4.123	20	E4.10.1219	4.12632267059741	1.32687812841692	5.81966218402291e-05	0.00130374627220123	FALSE
E4.126	3	E4.10.1219	7.36980091876158	1.40443162821377	7.65959950500535e-12	3.60786776684483e-10	FALSE
E4.127	4	E4.10.1219	5.55824068353095	1.49678533903864	1.06695138110974e-07	3.18697510097333e-06	FALSE
E4.128	5	E4.10.1219	-4.35474680982194	0.756914475201565	2.32441027821691e-05	0.000550960216914125	TRUE
E4.130	7	E4.10.1219	-3.37735700633045	0.778996504555765	0.000911744975882579	0.0148877824061893	TRUE
E4.131	8	E4.10.1219	-6.99190872742404	0.539737418068736	6.30852854964609e-11	2.4922079453118e-09	TRUE
E4.133	1	E4.10.1221	-11.6591588530336	0.410424583510545	2.49721909665451e-23	7.05752535469898e-21	TRUE
E4.134	10	E4.10.1221	4.09676696530154	1.24070786938703	6.53641170585091e-05	0.00142281000063914	FALSE
E4.135	11	E4.10.1221	-8.17252719384232	0.350865032622434	7.3629819554941e-14	4.91847194627006e-12	TRUE
E4.137	13	E4.10.1221	2.77613359534047	1.2952304800031	0.00613303614286133	0.0733966605500734	FALSE
E4.140	16	E4.10.1221	-7.15240849579915	0.434483916233206	2.59356131261865e-11	1.08281184801828e-09	TRUE
E4.142	18	E4.10.1221	-5.12564475033178	0.488939739636517	8.17143060888091e-07	2.25728090654349e-05	TRUE
E4.143	19	E4.10.1221	-4.48029836603716	0.275291813572479	1.38278532618981e-05	0.00033869021922809	TRUE
E4.144	2	E4.10.1221	-6.30225118957052	0.471797915146925	2.54371931931369e-09	8.81662715014953e-08	TRUE
E4.147	22	E4.10.1221	-3.41874319996996	0.413505197673619	0.000791561025553334	0.0130999784138872	TRUE
