chr	cell	z	score	p	p.adj	monosomy
E5.1	1	E5.1.26	0.660931271793895	1.0081102965761	0.510992239315929	0.987715839003704	FALSE
E5.2	10	E5.1.26	0.1148160955754	0.991889703423897	0.908944835565505	0.998605720082669	FALSE
E5.3	11	E5.1.26	-2.10718402772288	0.748655788349201	0.038964659762418	0.362671063942506	TRUE
E5.4	12	E5.1.26	1.07350095892455	1.06983059383214	0.287015609287363	0.862829533509837	FALSE
E5.5	13	E5.1.26	3.58798497059931	1.48405724939497	0.000639657892455359	0.0226532502401264	FALSE
E5.6	14	E5.1.26	5.13626722816868	1.28616379638037	2.75850687662319e-06	0.000190731046897946	FALSE
E5.7	15	E5.1.26	1.57471372621087	1.25713491669614	0.120177686439231	0.629956681262683	FALSE
E5.8	16	E5.1.26	-1.8245222007359	0.673661279556343	0.0726694404403542	0.507288593843242	TRUE
E5.9	17	E5.1.26	-2.43891513981313	0.753473636641061	0.0174714592937882	0.221087737290805	TRUE
E5.10	18	E5.1.26	2.29741898990361	1.37385474184152	0.0248237117908029	0.271007740753728	FALSE
E5.11	19	E5.1.26	-3.29918352056682	0.264193174967888	0.0015759638136258	0.041605444679721	TRUE
E5.12	2	E5.1.26	2.45670726877739	1.15033882139003	0.0167009150335764	0.220379374357866	FALSE
E5.13	20	E5.1.26	-2.43565962256542	0.81975543431865	0.0176158527760579	0.221087737290805	TRUE
E5.14	21	E5.1.26	0.362352894087651	1.05953562343396	0.718263833034403	0.998605720082669	FALSE
E5.15	22	E5.1.26	-4.02234579684758	0.55824571329668	0.000152663389630412	0.00692710130447995	TRUE
E5.16	3	E5.1.26	3.7032602372354	1.24291321291927	0.000441107822759467	0.0173105015850472	FALSE
E5.17	4	E5.1.26	3.56452439944105	1.45689210345671	0.00068936572386215	0.0238323578820915	FALSE
E5.18	5	E5.1.26	2.43460950934091	1.11768505114826	0.0176626566981635	0.221087737290805	FALSE
E5.19	6	E5.1.26	-0.533647428275268	0.986562746387801	0.5954057343008	0.998605720082669	TRUE
E5.20	7	E5.1.26	-3.02353813117644	0.796675845271724	0.00357367197911059	0.0741281673381226	TRUE
E5.21	8	E5.1.26	-0.671574974873228	0.968960112541035	0.504234196076413	0.987715839003704	TRUE
E5.22	9	E5.1.26	-2.9341152500052	0.695245425156955	0.00461761459330387	0.0918462519106469	TRUE
E5.23	1	E5.1.31	-3.80638597121729	0.867094066203888	0.000314641924735483	0.0126905576309978	TRUE
E5.24	10	E5.1.31	5.98411578814334	1.29283833397353	1.03122128190327e-07	9.35833313327221e-06	FALSE
E5.25	11	E5.1.31	-1.83074696128232	0.782724342530908	0.0717227487684144	0.507288593843242	TRUE
E5.26	12	E5.1.31	-0.0865005247809993	0.997422454469094	0.93133445338829	0.998605720082669	TRUE
E5.27	13	E5.1.31	7.63749295726378	2.0267338691467	1.28601863081105e-10	3.7345981038753e-08	FALSE
E5.28	14	E5.1.31	1.83194044939595	1.09753106467809	0.0715424234722385	0.507288593843242	FALSE
E5.29	15	E5.1.31	3.22380909863827	1.44237070395632	0.00197970465518534	0.0513309135594484	FALSE
E5.30	16	E5.1.31	-2.40317055296307	0.568087070053945	0.0191165488906157	0.231310241576451	TRUE
E5.31	17	E5.1.31	-2.77028993560106	0.724638076255346	0.00729379851324022	0.126413488574558	TRUE
E5.32	18	E5.1.31	0.392233837189987	1.08182117451293	0.696168633857459	0.998605720082669	FALSE
E5.33	19	E5.1.31	-3.52945608453772	0.212777610545444	0.00077056685969451	0.0260200716343356	TRUE
E5.34	2	E5.1.31	1.46617928750216	1.09027257234711	0.147420768315784	0.685621302790939	FALSE
E5.35	20	E5.1.31	0.036324913394882	1.00257754553091	0.97113461310909	0.998605720082669	FALSE
E5.36	21	E5.1.31	-2.76633534865464	0.461472878680364	0.00737324306164585	0.126413488574558	TRUE
E5.37	22	E5.1.31	-4.9772528656966	0.464418742919755	5.01420441385304e-06	0.000316548904735418	TRUE
E5.38	3	E5.1.31	4.43928838656176	1.29122684147453	3.57631867801454e-05	0.00185457668588468	FALSE
E5.39	4	E5.1.31	4.88816356504187	1.62898127524846	6.98627775796662e-06	0.000422669804356981	FALSE
E5.40	5	E5.1.31	5.73644377036661	1.292622479244	2.73430605022062e-07	2.33541904995314e-05	FALSE
E5.41	6	E5.1.31	-1.46043642573694	0.916552987159031	0.148987102392224	0.688070315562561	TRUE
E5.42	7	E5.1.31	-0.673316861845293	0.948813552237397	0.503132824472054	0.987715839003704	TRUE
E5.43	8	E5.1.31	5.44950449446515	1.53084233109142	8.33982556830364e-07	6.3733824869352e-05	FALSE
E5.44	9	E5.1.31	-2.03213874399942	0.794771354425831	0.0462300877371768	0.401497679425346	TRUE
E5.45	1	E5.10.940	-0.0809264237448476	0.984692668051701	0.935749130545395	0.998605720082669	TRUE
E5.46	10	E5.10.940	0.2656195109755	0.999622155969187	0.791372912857125	0.998605720082669	FALSE
E5.47	11	E5.10.940	-0.174233127635697	0.986875804637637	0.862223782808824	0.998605720082669	TRUE
E5.48	12	E5.10.940	-0.217428573283196	0.98924983010986	0.82855544498998	0.998605720082669	TRUE
E5.49	13	E5.10.940	0.410308117851018	1.05821516221016	0.682929270968117	0.998605720082669	FALSE
E5.50	14	E5.10.940	0.342968325629079	1.01253073089179	0.732729022494773	0.998605720082669	FALSE
E5.51	15	E5.10.940	0.857874859070828	1.17661549125022	0.394113822644415	0.953755450799484	FALSE
E5.52	16	E5.10.940	0.183139956410732	1.03995860741156	0.855258267456592	0.998605720082669	FALSE
E5.53	17	E5.10.940	-0.728578348936481	0.902303663668212	0.468876511215537	0.987715839003704	TRUE
E5.54	18	E5.10.940	1.09898574680132	1.19015462498419	0.275828260052106	0.846368906911699	FALSE
E5.55	19	E5.10.940	-0.342353426580799	0.924398131919573	0.733189499569596	0.998605720082669	TRUE
E5.56	2	E5.10.940	-0.710154382382892	0.958298309441862	0.480148536756077	0.987715839003704	TRUE
E5.57	20	E5.10.940	-0.676065162680718	0.949890865731671	0.501397758875183	0.987715839003704	TRUE
E5.58	21	E5.10.940	1.76109897818815	1.32691219066178	0.0829248328704804	0.544827408723699	FALSE
E5.59	22	E5.10.940	-1.35437784449428	0.82039410259886	0.180305470028198	0.752309030117652	TRUE
E5.60	3	E5.10.940	0.00838440101047573	1.00037784403081	0.993335974672409	0.998605720082669	FALSE
E5.61	4	E5.10.940	0.63935959431451	1.07658514235217	0.52483595858484	0.987715839003704	FALSE
E5.62	5	E5.10.940	-0.698237236674717	0.951700901418149	0.487519386570665	0.987715839003704	TRUE
E5.63	6	E5.10.940	2.5844030634779	1.22210067874205	0.0120093133138546	0.176136595269868	FALSE
E5.64	7	E5.10.940	-0.278787824307609	0.974352740349434	0.78129271018578	0.998605720082669	TRUE
E5.65	8	E5.10.940	1.05373861215292	1.12733463305321	0.295903936292732	0.880019373418743	FALSE
