chr	cell	z	score	p	p.adj	monosomy
E5.1	1	E5.15.1835	-0.312833975490543	0.99508457694646	0.755393183354115	1	TRUE
E5.2	10	E5.15.1835	1.1564595820148	1.08511729798386	0.251662086310502	0.896014287975071	FALSE
E5.3	11	E5.15.1835	-0.747197634957593	0.960614964140849	0.457598068772947	0.983920300353573	TRUE
E5.4	12	E5.15.1835	4.47509518457983	1.15288290756654	3.09111527998195e-05	0.00105960556341707	FALSE
E5.5	13	E5.15.1835	1.33252148231365	1.12729855284486	0.187271325304766	0.829451191515269	FALSE
E5.6	14	E5.15.1835	0.745915194534119	1.43308946794572	0.458367178185693	0.983920300353573	FALSE
E5.7	15	E5.15.1835	0.849143372481967	1.02813408644415	0.398871064676779	0.977362003939697	FALSE
E5.8	16	E5.15.1835	-1.44212557912772	0.936579013639575	0.153995676524487	0.811845964264426	TRUE
E5.9	17	E5.15.1835	-1.1153542453689	0.93779158693017	0.268743379173241	0.923374687415753	TRUE
E5.10	18	E5.15.1835	0.124141641525763	1.02283381129457	0.901580440844651	1	FALSE
E5.11	19	E5.15.1835	-0.541090069247777	0.942730785241302	0.590267225980751	1	TRUE
E5.12	2	E5.15.1835	-0.0836430967049879	0.993242367178671	0.933593382382407	1	TRUE
E5.13	20	E5.15.1835	0.55810210382726	1.01692325206935	0.578663025948437	1	FALSE
E5.14	21	E5.15.1835	-0.0779904349539678	0.813750690027375	0.938071626901278	1	TRUE
E5.15	22	E5.15.1835	-0.917932510548119	0.936765994651634	0.361996577935506	0.972821390404027	TRUE
E5.16	3	E5.15.1835	0.324027201456515	1.00491542305354	0.746942077854194	1	FALSE
E5.17	4	E5.15.1835	-1.47096437336944	0.891165502627215	0.146052663666401	0.798353040280276	TRUE
E5.18	5	E5.15.1835	0.87312607214281	1.14698286957907	0.385760052480934	0.974326747518683	FALSE
E5.19	6	E5.15.1835	1.25450978265796	1.0708599897787	0.214081362415106	0.84373242834189	FALSE
E5.20	7	E5.15.1835	-0.0471537907706221	0.89609794627121	0.962533051051762	1	TRUE
E5.21	8	E5.15.1835	1.59609462336427	1.15242574937423	0.115245237764745	0.719605548446003	FALSE
E5.22	9	E5.15.1835	-0.618832026614094	0.911768126985354	0.538157131987536	0.998147963220529	TRUE
E5.23	1	E5.15.1836	-0.0199527281939362	1.0022934470717	0.984141280999741	1	TRUE
E5.24	10	E5.15.1836	-0.985479069587214	0.954230027920108	0.327987829305595	0.964765860660437	TRUE
E5.25	11	E5.15.1836	-0.535457185139562	0.971963735162796	0.594133530674598	1	TRUE
E5.26	12	E5.15.1836	8.31284146147835	1.29351861123303	7.29744852056301e-12	2.15128782386197e-09	FALSE
E5.27	13	E5.15.1836	1.4164960388058	1.1354657183533	0.161333034059965	0.812646465695327	FALSE
E5.28	14	E5.15.1836	0.0650041464261462	1.18548646788006	0.948367193075454	1	FALSE
E5.29	15	E5.15.1836	1.58690869627581	1.06124598564364	0.117313124831855	0.720498108342308	FALSE
E5.30	16	E5.15.1836	-4.03188880066392	0.784871518653498	0.000145896947550647	0.00398244630906766	TRUE
E5.31	17	E5.15.1836	-3.25818296163117	0.821237441856446	0.00177343323217699	0.0390155311078937	TRUE
E5.32	18	E5.15.1836	0.983802798898355	1.09110079839431	0.328805306807577	0.964765860660437	FALSE
E5.33	19	E5.15.1836	4.07440772362489	1.3968877118037	0.000126153102834001	0.0035084844071192	FALSE
E5.34	2	E5.15.1836	0.0668883251916425	0.999775995938143	0.946872821907013	1	FALSE
E5.35	20	E5.15.1836	-1.60388667849355	0.918834275441488	0.11351420667005	0.71811133318306	TRUE
E5.36	21	E5.15.1836	-0.194275901628837	0.77577254294812	0.846556597978752	1	TRUE
E5.37	22	E5.15.1836	-1.91479960795875	0.834689603778978	0.0598537910624964	0.555692455767443	TRUE
E5.38	3	E5.15.1836	-0.0295264589494945	0.994438910934972	0.976533820974008	1	TRUE
E5.39	4	E5.15.1836	-1.69676399786472	0.873406899494975	0.0944530944963144	0.667351597479493	TRUE
E5.40	5	E5.15.1836	0.0711482275105829	1.07378123023213	0.943494940809532	1	FALSE
E5.41	6	E5.15.1836	0.2185239724507	1.00709019912326	0.827695188640491	1	FALSE
E5.42	7	E5.15.1836	-0.131512748200996	0.869157944558618	0.895769782633669	1	TRUE
E5.43	8	E5.15.1836	-0.0113003768601036	1.00022400406186	0.991017884948399	1	TRUE
E5.44	9	E5.15.1836	1.20876099825686	1.04476527441957	0.231067438319702	0.871082874893198	FALSE
E5.45	1	E5.15.1838	-0.252649877685571	0.996565925952876	0.801323999202108	1	TRUE
E5.46	10	E5.15.1838	2.44908244792782	1.1641054977695	0.0169851142831187	0.235217789074726	FALSE
E5.47	11	E5.15.1838	-1.04200076755822	0.944814236167935	0.301213251230644	0.953951732581693	TRUE
E5.48	12	E5.15.1838	4.9137534112877	1.16895770874699	6.20075372308103e-06	0.000304663699594048	FALSE
E5.49	13	E5.15.1838	0.314052633131641	1.0282446964874	0.754471597879678	1	FALSE
E5.50	14	E5.15.1838	0.197280131450986	1.23358662842202	0.84421462777348	1	FALSE
E5.51	15	E5.15.1838	1.84593851033398	1.0728715918034	0.0693865249433492	0.587791596359176	FALSE
E5.52	16	E5.15.1838	-1.27579187640018	0.946322788345583	0.206500972601995	0.843557856246584	TRUE
E5.53	17	E5.15.1838	-1.70312976415243	0.90582091537478	0.0932489602635452	0.667351597479493	TRUE
E5.54	18	E5.15.1838	0.137117971877536	1.0238642812293	0.891354981259272	1	FALSE
E5.55	19	E5.15.1838	0	0.99597310359372	1	1	FALSE
E5.56	2	E5.15.1838	0.584853541229751	1.02225763059803	0.560640355703587	0.998147963220529	FALSE
E5.57	20	E5.15.1838	-0.674490759476595	0.961000772938586	0.502355180453839	0.983920300353573	TRUE
E5.58	21	E5.15.1838	0.0192563757441682	0.84551092443404	0.984694681370958	1	FALSE
E5.59	22	E5.15.1838	-0.903772627779623	0.938215926876242	0.369402988291565	0.972821390404027	TRUE
E5.60	3	E5.15.1838	0.274035719784972	1.00343407404712	0.784913021248775	1	FALSE
E5.61	4	E5.15.1838	-1.78775140465378	0.866250956473324	0.0784068334844186	0.621353078258242	TRUE
E5.62	5	E5.15.1838	-0.0312526326454455	1.06443444978909	0.975162383755247	1	TRUE
E5.63	6	E5.15.1838	2.79766837818107	1.16584864658758	0.00673895306013421	0.111609177647616	FALSE
E5.64	7	E5.15.1838	-0.025462473378813	0.903025060421074	0.979762911987558	1	TRUE
E5.65	8	E5.15.1838	1.37051157580131	1.13106563966431	0.175170681380539	0.827674628316349	FALSE
E5.66	9	E5.15.1838	0.217432168477026	0.972624538087241	0.828542356616699	1	FALSE
E5.67	1	E5.15.1839	-0.586274515257206	0.988354213168145	0.559690861896496	0.998147963220529	TRUE
E5.68	10	E5.15.1839	-0.10015035027088	1.00832973758905	0.920528561641534	1	TRUE
E5.69	11	E5.15.1839	0.0193359891770417	1.00169929445376	0.984631411151299	1	FALSE
E5.70	12	E5.15.1839	4.48945889305637	1.1534092712454	2.93577817604895e-05	0.00103031834083242	FALSE
E5.71	13	E5.15.1839	1.28461225940021	1.12263901584628	0.20341836956528	0.841659895054846	FALSE
E5.72	14	E5.15.1839	0.217999354779579	1.24112086049161	0.82810223187392	1	FALSE
E5.73	15	E5.15.1839	0.184426625628921	0.998300705546245	0.854244295190361	1	FALSE
E5.74	16	E5.15.1839	-3.2356120010346	0.831517156981637	0.00189872623731783	0.0402973352681844	TRUE
E5.75	17	E5.15.1839	-2.28776806554039	0.874020885405755	0.0253627738305799	0.3081203571964	TRUE
E5.76	18	E5.15.1839	0.888746876828458	1.08355226447481	0.377366895874141	0.972821390404027	FALSE
E5.77	19	E5.15.1839	-0.394631206318583	0.957142081712608	0.69438746742831	1	TRUE
E5.78	2	E5.15.1839	0.446663380871995	1.01625965891468	0.656580339061267	1	FALSE
E5.79	20	E5.15.1839	-1.61795534994112	0.91819598277499	0.110441903286549	0.713565579787752	TRUE
E5.80	21	E5.15.1839	-0.229566546734421	0.764246826548073	0.819138566595866	1	TRUE
E5.81	22	E5.15.1839	-1.70701424699523	0.85596624113457	0.0925203898511171	0.667351597479493	TRUE
E5.82	3	E5.15.1839	0.68454570774504	1.01559831768334	0.4960275297019	0.983920300353573	FALSE
E5.83	4	E5.15.1839	-1.18146690387553	0.913933789687132	0.24165700779178	0.883876996240902	TRUE
E5.84	5	E5.15.1839	1.16185921601356	1.17333738748327	0.249477126251751	0.892536210604139	FALSE
E5.85	6	E5.15.1839	1.40020439828204	1.07982817741837	0.166135665331032	0.821758290932688	FALSE
E5.86	7	E5.15.1839	-0.0866594289537845	0.883481835395375	0.931204604136025	1	TRUE
E5.87	8	E5.15.1839	1.55778855758261	1.1487986072796	0.124065977190424	0.731493001514737	FALSE
E5.88	9	E5.15.1839	-0.760826301457817	0.901434954747766	0.449470556867021	0.983920300353573	TRUE
E5.89	1	E5.15.1840	-0.842347563636916	0.982051326365449	0.402635576637873	0.977362003939697	TRUE
E5.90	10	E5.15.1840	0.500902731236527	1.04505823910008	0.618106051580104	1	FALSE
E5.91	11	E5.15.1840	-0.201019034067259	0.989888803333685	0.841301906451512	1	TRUE
E5.92	12	E5.15.1840	4.58209742897154	1.15680404639338	2.10152696479173e-05	0.000755524572220247	FALSE
E5.93	13	E5.15.1840	0.843412914680073	1.0797290176151	0.402043993726154	0.977362003939697	FALSE
E5.94	14	E5.15.1840	0.35166243528454	1.28972541731736	0.726211706486839	1	FALSE
E5.95	15	E5.15.1840	0.432142308678905	1.00941851830153	0.667046608018662	1	FALSE
E5.96	16	E5.15.1840	-3.3825031963764	0.822912318093086	0.00121159232190283	0.0286164877806637	TRUE
