chr	cell	z	score	p	p.adj	monosomy
E5.5	13	E5.1.26	3.58798497059931	1.48405724939497	0.000639657892455359	0.0226532502401264	FALSE
E5.6	14	E5.1.26	5.13626722816868	1.28616379638037	2.75850687662319e-06	0.000190731046897946	FALSE
E5.11	19	E5.1.26	-3.29918352056682	0.264193174967888	0.0015759638136258	0.041605444679721	TRUE
E5.15	22	E5.1.26	-4.02234579684758	0.55824571329668	0.000152663389630412	0.00692710130447995	TRUE
E5.16	3	E5.1.26	3.7032602372354	1.24291321291927	0.000441107822759467	0.0173105015850472	FALSE
E5.17	4	E5.1.26	3.56452439944105	1.45689210345671	0.00068936572386215	0.0238323578820915	FALSE
E5.20	7	E5.1.26	-3.02353813117644	0.796675845271724	0.00357367197911059	0.0741281673381226	TRUE
E5.22	9	E5.1.26	-2.9341152500052	0.695245425156955	0.00461761459330387	0.0918462519106469	TRUE
E5.24	10	E5.1.31	5.98411578814334	1.29283833397353	1.03122128190327e-07	9.35833313327221e-06	FALSE
E5.27	13	E5.1.31	7.63749295726378	2.0267338691467	1.28601863081105e-10	3.7345981038753e-08	FALSE
E5.29	15	E5.1.31	3.22380909863827	1.44237070395632	0.00197970465518534	0.0513309135594484	FALSE
E5.33	19	E5.1.31	-3.52945608453772	0.212777610545444	0.00077056685969451	0.0260200716343356	TRUE
E5.37	22	E5.1.31	-4.9772528656966	0.464418742919755	5.01420441385304e-06	0.000316548904735418	TRUE
E5.38	3	E5.1.31	4.43928838656176	1.29122684147453	3.57631867801454e-05	0.00185457668588468	FALSE
E5.39	4	E5.1.31	4.88816356504187	1.62898127524846	6.98627775796662e-06	0.000422669804356981	FALSE
E5.40	5	E5.1.31	5.73644377036661	1.292622479244	2.73430605022062e-07	2.33541904995314e-05	FALSE
E5.43	8	E5.1.31	5.44950449446515	1.53084233109142	8.33982556830364e-07	6.3733824869352e-05	FALSE
E5.401	13	E5.14.1782	3.69264178636694	1.4980823623721	0.000456592645927608	0.0174466453128128	FALSE
E5.426	16	E5.14.1783	-2.91456222265223	0.474783821084614	0.00488069996604074	0.0944903513425488	TRUE
E5.511	13	E5.14.1813	3.12286143486805	1.42172580839798	0.00267380084781377	0.0610916732984844	FALSE
E5.863	13	E5.3.52	3.21660093462869	1.43428788631827	0.00202303022113575	0.0515340330015633	FALSE
E5.961	22	E5.37.3239	3.32098123509145	1.27978412302307	0.00147452207072344	0.041605444679721	FALSE
E5.977	17	E5.37.3242	2.88899923263197	1.21709790308914	0.00524558429718926	0.0995347304651782	FALSE
E5.1005	22	E5.37.3243	5.69268603026238	1.51282237650206	3.24466134271893e-07	2.61736014979327e-05	FALSE
E5.1040	14	E5.37.3246	-3.99556826891809	0.764858492577722	0.000167171810567261	0.00735555966495948	TRUE
E5.1049	22	E5.37.3246	7.18559390647739	1.65951206772609	8.14625398552403e-10	1.47854509837261e-07	FALSE
E5.1053	6	E5.37.3246	2.91924441975268	1.24739463755774	0.00481646710143681	0.0944903513425488	FALSE
E5.1055	8	E5.37.3246	-3.42036486432246	0.716635964627375	0.00108521936268843	0.0342551851005131	TRUE
E5.1061	13	E5.37.3247	3.1260065105362	1.42214728158388	0.00264910886224935	0.0610916732984844	FALSE
E5.1082	12	E5.37.3253	-3.34808147338672	0.793832190846253	0.0013569791661646	0.0410486197764792	TRUE
E5.1086	16	E5.37.3253	3.12046671257496	1.57587294837306	0.00269274593051171	0.0610916732984844	FALSE
E5.1087	17	E5.37.3253	3.63017094761281	1.28159315745119	0.000558736298652855	0.0202821276410986	FALSE
E5.1089	19	E5.37.3253	2.88678443416448	1.64540432929307	0.00527835691860793	0.0995347304651782	FALSE
E5.1095	4	E5.37.3253	-2.98409516814007	0.605492003601908	0.00400368246161536	0.0818781258347253	TRUE
E5.1100	9	E5.37.3253	-3.30749783066889	0.654045628858572	0.001536518925434	0.041605444679721	TRUE
E5.1105	13	E5.38.3255	-4.71667733697701	0.371145240307345	1.31393899143221e-05	0.000763135766223826	TRUE
E5.1109	17	E5.38.3255	4.29926324248168	1.33981620735585	5.8670108467065e-05	0.00274803217723156	FALSE
E5.1115	22	E5.38.3255	10.8684942855917	2.02138538089449	2.92393571872336e-16	4.24555466358632e-13	FALSE
E5.1129	15	E5.40.3281	-6.80292807246968	0.31611046176839	3.86181843569388e-09	5.09760033511593e-07	TRUE
E5.1143	8	E5.40.3281	-7.55502696928642	0.337096190943555	1.80183327009196e-10	4.36043651362254e-08	TRUE
E5.1151	15	E5.40.3282	-6.43300738856457	0.357662060452537	1.71963305294747e-08	1.66460479525315e-06	TRUE
E5.1165	8	E5.40.3282	-3.02692838836998	0.752751319945694	0.00353879146683073	0.0741281673381226	TRUE
E5.1173	15	E5.40.3286	-7.43293307870426	0.24534471027887	2.9679849190243e-10	6.15644871774754e-08	TRUE
E5.1181	22	E5.40.3286	3.31919651724827	1.27960876075625	0.00148259065389961	0.041605444679721	FALSE
E5.1195	15	E5.40.3287	-6.97553129307843	0.296722684695168	1.91618990345646e-09	2.78230773981877e-07	TRUE
E5.1197	17	E5.40.3287	4.38219639213607	1.34703288127081	4.38000021428521e-05	0.00211992010371404	FALSE
E5.1203	22	E5.40.3287	3.11261174557249	1.25931021665215	0.00275577254734715	0.0615597190576624	FALSE
E5.1217	15	E5.40.3288	-6.59022282247668	0.340002727246542	9.12968845491795e-09	1.01971597204161e-06	TRUE
E5.1219	17	E5.40.3288	3.05390725131066	1.23144786328871	0.00327230846035225	0.0719907861277496	FALSE
E5.1225	22	E5.40.3288	3.35503991751165	1.28313065075416	0.00132825695640384	0.0410346617169866	FALSE
E5.1227	4	E5.40.3288	-5.3030648846745	0.303997768390599	1.46326836482506e-06	0.000106233283286299	TRUE
E5.1239	15	E5.40.3289	-6.65764272217548	0.332429740015775	6.9535364557193e-09	8.41377911142035e-07	TRUE
E5.1247	22	E5.40.3289	3.04198476964758	1.25237057258196	0.00338767964784072	0.0723369242450696	FALSE
E5.1253	8	E5.40.3289	-3.04404171925569	0.751180408087252	0.00336750829163263	0.0723369242450696	TRUE
E5.1261	15	E5.40.3290	-7.74737129615738	0.21002521831469	8.20424667317798e-11	3.7345981038753e-08	TRUE
E5.1267	20	E5.40.3290	3.19218100770146	1.2359771746346	0.00217651582747345	0.0535644234151093	FALSE
E5.1269	22	E5.40.3290	6.4809159191176	1.59027203086578	1.41827596168806e-08	1.47095478312219e-06	FALSE
E5.1283	15	E5.40.3292	-7.65015473015831	0.220945136858311	1.22111087140892e-10	3.7345981038753e-08	TRUE
E5.1291	22	E5.40.3292	3.12109144924719	1.26014341281484	0.00268779146285338	0.0610916732984844	FALSE
E5.1305	15	E5.40.3293	-7.95952016906389	0.186195448280618	3.44423597328907e-11	2.50051531660786e-08	TRUE
E5.1307	17	E5.40.3293	3.67050661383685	1.2851030850434	0.000490556849107521	0.0182638088436954	FALSE
E5.1310	2	E5.40.3293	3.3152735519514	1.20240282882837	0.00150047261761114	0.041605444679721	FALSE
E5.1318	7	E5.40.3293	7.05819358921888	1.44930016035187	1.36892858612675e-09	2.20853811895115e-07	FALSE
E5.1319	8	E5.40.3293	-3.81480050402827	0.680428891443077	0.000306019676200646	0.0126905576309978	TRUE
E5.1369	13	E5.8.920	-3.30239370761004	0.560674106994989	0.00156062227084187	0.041605444679721	TRUE
