chr	cell	z	score	p	p.adj	monosomy
E6.1	1	E6.10.1046	-0.317596359600743	0.99091129794685	0.753537858681181	1	TRUE
E6.2	10	E6.10.1046	-0.674490759476595	0.948817041054746	0.506445112895644	0.972110495038521	TRUE
E6.3	11	E6.10.1046	1.05239510736975	1.04491007420953	0.303099378433202	0.972110495038521	FALSE
E6.4	12	E6.10.1046	-1.46877171300062	0.931493669471438	0.154881039355971	0.878191460265816	TRUE
E6.5	13	E6.10.1046	1.01803548448356	1.18836474448243	0.318814535256853	0.972110495038521	FALSE
E6.6	14	E6.10.1046	0.670582119633821	1.03264008831423	0.50888902673378	0.972110495038521	FALSE
E6.7	15	E6.10.1046	0.7804796331117	1.03435803956092	0.442738902541009	0.972110495038521	FALSE
E6.8	16	E6.10.1046	1.76263659299825	1.10860832679615	0.0906939250570463	0.744502369871276	FALSE
E6.9	17	E6.10.1046	1.4081998833785	1.08167031141135	0.171894651226984	0.917884059949913	FALSE
E6.10	18	E6.10.1046	0.328424958373569	1.00257842703718	0.745438722965617	1	FALSE
E6.11	19	E6.10.1046	1.32350747502372	1.17717473919609	0.198136743750954	0.940245038351733	FALSE
E6.12	2	E6.10.1046	0.0633656316323387	1.00767801626287	0.950000162242871	1	FALSE
E6.13	20	E6.10.1046	0.0902217887321948	0.997421572962818	0.928859720216497	1	FALSE
E6.14	21	E6.10.1046	-1.1303388452	0.875233538497821	0.269503645310404	0.951993106949114	TRUE
E6.15	22	E6.10.1046	-0.995219754237014	0.929152723880259	0.329558288551852	0.972110495038521	TRUE
E6.16	3	E6.10.1046	-1.82327072318965	0.932374031442953	0.0807428972150878	0.704898309020608	TRUE
E6.17	4	E6.10.1046	-0.406693939828856	0.980879601973074	0.687836872327578	1	TRUE
E6.18	5	E6.10.1046	-0.819068590020808	0.939766473153896	0.420806627980729	0.972110495038521	TRUE
E6.19	6	E6.10.1046	0.573937293715896	1.02552043125643	0.571350434631764	1	FALSE
E6.20	7	E6.10.1046	9.09819691193616	1.61924119552509	3.01067565675021e-09	1.65587161121262e-06	FALSE
E6.21	8	E6.10.1046	-3.11917669676374	0.89340892213594	0.00466753474582783	0.15762071392292	TRUE
E6.22	9	E6.10.1046	-1.18169788691312	0.957912406188718	0.24890265262434	0.950335201447013	TRUE
E6.23	1	E6.10.1048	-1.73721063083203	0.952069800827342	0.0951691235575799	0.754592747772656	TRUE
E6.24	10	E6.10.1048	0.926037594718106	1.08364169521656	0.363645387264427	0.972110495038521	FALSE
E6.25	11	E6.10.1048	-1.52899777055464	0.92442601307626	0.139339295763868	0.861085535619409	TRUE
E6.26	12	E6.10.1048	-2.75685277507293	0.875370988047405	0.0109728276815317	0.262393705427933	TRUE
E6.27	13	E6.10.1048	2.5391214095866	1.48117429194891	0.0180101090361333	0.341571033443908	FALSE
E6.28	14	E6.10.1048	1.01291903064958	1.04441279119297	0.321202387837399	0.972110495038521	FALSE
E6.29	15	E6.10.1048	-2.38465201300448	0.900441255618228	0.0253463127189699	0.407229151118627	TRUE
E6.30	16	E6.10.1048	0.881658111889547	1.05169323961557	0.386706653064063	0.972110495038521	FALSE
E6.31	17	E6.10.1048	0.53247128063713	1.03303637054515	0.59929534125304	1	FALSE
E6.32	18	E6.10.1048	-1.46928254349337	0.882543499621928	0.154743549813434	0.878191460265816	TRUE
E6.33	19	E6.10.1048	0.328380937394874	1.04529497028252	0.745471588221131	1	FALSE
E6.34	2	E6.10.1048	-0.144603354972249	1.00203662133435	0.886231522853573	1	TRUE
E6.35	20	E6.10.1048	0.0579371034255851	0.995745878880759	0.954278420506732	1	FALSE
E6.36	21	E6.10.1048	0.340986160738061	1.04585559114117	0.736081113572095	1	FALSE
E6.37	22	E6.10.1048	-0.311667461955324	0.981108584532811	0.757984633180137	1	TRUE
E6.38	3	E6.10.1048	2.3364530504226	1.05078952729028	0.0281465444602587	0.413205303287004	FALSE
E6.39	4	E6.10.1048	-0.867917878449125	0.945115397950279	0.39403517998683	0.972110495038521	TRUE
E6.40	5	E6.10.1048	-0.0678469032978359	0.980751517409048	0.946469591926126	1	TRUE
E6.41	6	E6.10.1048	-0.531588588369284	0.985734978329873	0.599897312248672	1	TRUE
E6.42	7	E6.10.1048	0.1974263432507	1.00338856201994	0.845156450203176	1	FALSE
E6.43	8	E6.10.1048	-0.22887636278484	0.997963378665655	0.820904112333861	1	TRUE
E6.44	9	E6.10.1048	0.293565996232997	1.01927713728226	0.771613221405165	1	FALSE
E6.45	1	E6.10.1049	-0.702618181694582	0.980376870182303	0.489053285854296	0.972110495038521	TRUE
E6.46	10	E6.10.1049	-1.49854817747993	0.879400428658851	0.147030019911575	0.878191460265816	TRUE
E6.47	11	E6.10.1049	-1.14530977227846	0.94233428602291	0.263373778518364	0.951993106949114	TRUE
E6.48	12	E6.10.1049	-0.736669777883461	0.963391913211157	0.468463673048871	0.972110495038521	TRUE
E6.49	13	E6.10.1049	1.17749595328016	1.21906093786412	0.250542916745122	0.950335201447013	FALSE
E6.50	14	E6.10.1049	0.290841001361213	1.01958108353733	0.773671499812673	1	FALSE
E6.51	15	E6.10.1049	-0.231678307417317	0.991533616632405	0.81875184845566	1	TRUE
E6.52	16	E6.10.1049	-0.0127482572780534	0.993910651768498	0.98993402069777	1	TRUE
E6.53	17	E6.10.1049	1.89885678358187	1.1089191400957	0.0696698822992097	0.652967385689446	FALSE
E6.54	18	E6.10.1049	-1.66359429032555	0.869569088377213	0.109198692881127	0.77999066343662	TRUE
E6.55	19	E6.10.1049	0.583867684098953	1.079153511726	0.564757136687139	0.998766640443494	FALSE
E6.56	2	E6.10.1049	0.540518897512912	1.02062134044893	0.593820567138708	1	FALSE
E6.57	20	E6.10.1049	1.05449473186363	1.04747089043177	0.302157118777794	0.972110495038521	FALSE
E6.58	21	E6.10.1049	-0.547624175105854	0.942807985146654	0.589007182370228	1	TRUE
E6.59	22	E6.10.1049	0.953417474866147	1.07726593406307	0.349883260527644	0.972110495038521	FALSE
E6.60	3	E6.10.1049	0.965943125538288	1.01177501066579	0.343706042193352	0.972110495038521	FALSE
E6.61	4	E6.10.1049	-0.500510257676131	0.973604901656793	0.62127481167629	1	TRUE
E6.62	5	E6.10.1049	-0.560436741686672	0.953876872170738	0.580376178315763	1	TRUE
E6.63	6	E6.10.1049	1.36139640417788	1.05385935834856	0.186033878657298	0.929525221942971	FALSE
E6.64	7	E6.10.1049	0.214502119906643	1.00457005096424	0.831967637582155	1	FALSE
E6.65	8	E6.10.1049	0.726358591305738	1.03251828990065	0.474644051158171	0.972110495038521	FALSE
