chr	cell	z	score	p	p.adj	monosomy
E6.1	1	E6.1.77	-0.510921910786458	0.984939433356362	0.612613662424716	0.99964249759148	TRUE
E6.2	10	E6.1.77	0.765790703259874	1.09484908896156	0.448934698777047	0.993666707843628	FALSE
E6.3	11	E6.1.77	-2.29193572457848	0.823274961946073	0.0280392480651819	0.387265538967064	TRUE
E6.4	12	E6.1.77	0.41322667777289	1.0242568339969	0.681961415062367	0.99964249759148	FALSE
E6.5	13	E6.1.77	0.734207448845076	1.28297618913029	0.467712812469281	0.993666707843628	FALSE
E6.6	14	E6.1.77	-0.25326283404847	0.97285985128938	0.801546855600732	0.99964249759148	TRUE
E6.7	15	E6.1.77	0.956642370884738	1.07508194751347	0.345309357762021	0.993666707843628	FALSE
E6.8	16	E6.1.77	-3.29041996702738	0.761862394831791	0.00228838710209456	0.0647286637449605	TRUE
E6.9	17	E6.1.77	0.226205563482419	1.00625167204119	0.822357406292339	0.99964249759148	FALSE
E6.10	18	E6.1.77	0.00234588008103378	0.993748327958811	0.998141580397903	0.99964249759148	FALSE
E6.11	19	E6.1.77	-0.806909337739442	0.806577064247535	0.425168277602504	0.993666707843628	TRUE
E6.12	2	E6.1.77	0.223320357218391	1.02562009105537	0.824584507123215	0.99964249759148	FALSE
E6.13	20	E6.1.77	-0.845427258745171	0.922049763439954	0.403615073836957	0.993666707843628	TRUE
E6.14	21	E6.1.77	-2.02605888435916	0.6554269021085	0.0504341219378315	0.51875096850341	TRUE
E6.15	22	E6.1.77	-1.31178702324921	0.733200780176324	0.19813161710973	0.928522134620745	TRUE
E6.16	3	E6.1.77	-0.69220633586301	0.942814080700746	0.493374855581141	0.993666707843628	TRUE
E6.17	4	E6.1.77	0.688437230321423	1.09518557613059	0.495715620546507	0.993666707843628	FALSE
E6.18	5	E6.1.77	0.171291136045915	1.00784905928818	0.864981344100675	0.99964249759148	FALSE
E6.19	6	E6.1.77	0.330263393335683	1.21303031023736	0.74316976277022	0.99964249759148	FALSE
E6.20	7	E6.1.77	-1.93223266228617	0.84817219723086	0.0614569086884857	0.565975252107915	TRUE
E6.21	8	E6.1.77	0.518287461395182	1.11740925821227	0.607518969169586	0.99964249759148	FALSE
E6.22	9	E6.1.77	0.710884236116529	1.06836687244387	0.481866767592626	0.993666707843628	FALSE
E6.23	1	E6.10.1047	-0.372358347915797	0.989543105496552	0.711871332866079	0.99964249759148	TRUE
E6.24	10	E6.10.1047	1.08160452284203	1.13523438504664	0.286824526518834	0.942505252463286	FALSE
E6.25	11	E6.10.1047	-0.214430105578952	0.992427634288006	0.831456115501471	0.99964249759148	TRUE
E6.26	12	E6.10.1047	-0.709857109342651	0.96132668265847	0.482495633644282	0.993666707843628	TRUE
E6.27	13	E6.10.1047	2.27436903065152	1.73014081142102	0.029182700614047	0.387265538967064	FALSE
E6.28	14	E6.10.1047	2.13553084663938	1.29471477975862	0.0397920896672483	0.443877957978319	FALSE
E6.29	15	E6.10.1047	1.7258060100067	1.13832971653343	0.0932021678303019	0.712845454140063	FALSE
E6.30	16	E6.10.1047	-0.0898987296232801	0.975304788260559	0.928880185240549	0.99964249759148	TRUE
E6.31	17	E6.10.1047	0.0834864713589256	0.997543722973998	0.933940414404116	0.99964249759148	FALSE
E6.32	18	E6.10.1047	-1.08233940672661	0.87281789526745	0.286502519466218	0.942505252463286	TRUE
E6.33	19	E6.10.1047	-0.356574899908298	0.917646132071301	0.723550809248553	0.99964249759148	TRUE
E6.34	2	E6.10.1047	1.58209532029497	1.17144297471924	0.122623613603193	0.758733609169759	FALSE
E6.35	20	E6.10.1047	1.05046155868425	1.06068704008381	0.300705275011628	0.948528149655112	FALSE
E6.36	21	E6.10.1047	0.10663535741076	1.02861705440309	0.915687150568022	0.99964249759148	FALSE
E6.37	22	E6.10.1047	-0.564247869889269	0.895430390319163	0.57618376779048	0.99964249759148	TRUE
E6.38	3	E6.10.1047	0.17888276009903	0.997418752831463	0.859061256996362	0.99964249759148	FALSE
E6.39	4	E6.10.1047	0.578040973976165	1.07905501083494	0.566937276249348	0.99964249759148	FALSE
E6.40	5	E6.10.1047	-0.786341781929839	0.917784482357071	0.436959170124922	0.993666707843628	TRUE
E6.41	6	E6.10.1047	1.15692792713793	1.48632743049071	0.25513714724357	0.942505252463286	FALSE
E6.42	7	E6.10.1047	0.181345050285761	1.02020582028684	0.85714287490043	0.99964249759148	FALSE
E6.43	8	E6.10.1047	-1.14402144294958	0.901438638726381	0.260378870413471	0.942505252463286	TRUE
E6.44	9	E6.10.1047	-0.147764903264952	1.002456277026	0.883376298343156	0.99964249759148	TRUE
E6.45	1	E6.10.1055	1.23880103106775	1.04307268710348	0.223663152923566	0.942505252463286	FALSE
E6.46	10	E6.10.1055	0.496350727005497	1.06039393676908	0.622750014147034	0.99964249759148	FALSE
E6.47	11	E6.10.1055	0.201446352730091	1.02628872888324	0.841515797554009	0.99964249759148	FALSE
E6.48	12	E6.10.1055	-1.14365040989173	0.937019789115592	0.260530699947156	0.942505252463286	TRUE
E6.49	13	E6.10.1055	1.73285947907536	1.57292099957935	0.0919248511140968	0.712845454140063	FALSE
E6.50	14	E6.10.1055	1.25072589281736	1.17550028357843	0.2193313785409	0.942505252463286	FALSE
E6.51	15	E6.10.1055	-0.276138477605846	0.97371127111676	0.784065748990923	0.99964249759148	TRUE
E6.52	16	E6.10.1055	-3.93003112983649	0.719206799906114	0.000382058921928354	0.0144090793412979	TRUE
E6.53	17	E6.10.1055	-0.987637268793148	0.932189530797432	0.330109187698029	0.993666707843628	TRUE
E6.54	18	E6.10.1055	1.14941517905741	1.12163388918039	0.258178923579871	0.942505252463286	FALSE
E6.55	19	E6.10.1055	-0.798732055643838	0.808593883356606	0.429832740762562	0.993666707843628	TRUE
E6.56	2	E6.10.1055	1.29187135012907	1.14029631880637	0.204867440930748	0.935216060389681	FALSE
E6.57	20	E6.10.1055	-1.20986152093722	0.89540042980734	0.23444040688145	0.942505252463286	TRUE
E6.58	21	E6.10.1055	-1.92324343073915	0.673418095615379	0.062614954007292	0.570011995100866	TRUE
E6.59	22	E6.10.1055	-1.1154183463896	0.775816359237319	0.27227140863249	0.942505252463286	TRUE
E6.60	3	E6.10.1055	1.16743884734745	1.05938690428377	0.250925217441742	0.942505252463286	FALSE
E6.61	4	E6.10.1055	0.242575294688792	1.03003839357512	0.809750335591693	0.99964249759148	FALSE
E6.62	5	E6.10.1055	-1.65088186373389	0.836475208995567	0.107709064653597	0.737666298806215	TRUE
