chr	cell	z	score	p	p.adj	monosomy
E6.8	16	E6.1.77	-3.29041996702738	0.761862394831791	0.00228838710209456	0.0647286637449605	TRUE
E6.52	16	E6.10.1055	-3.93003112983649	0.719206799906114	0.000382058921928354	0.0144090793412979	TRUE
E6.119	17	E6.11.1070	-7.28989659129485	0.547659666067845	1.62063160067265e-08	1.28354022773274e-05	TRUE
E6.123	20	E6.11.1070	5.13325051914598	1.35924185900904	1.07219690363021e-05	0.000707649956395942	FALSE
E6.126	3	E6.11.1070	4.78065653668907	1.28588333062866	3.10647237555924e-05	0.00164021741429528	FALSE
E6.130	7	E6.11.1070	-6.5187928842821	0.474851373652406	1.61065052824055e-07	2.63011145218611e-05	TRUE
E6.132	9	E6.11.1070	-6.01444218292058	0.552125431874162	7.39021620915294e-07	8.36150176807018e-05	TRUE
E6.206	16	E6.13.1400	3.36045625490842	1.20540856556736	0.00189177414769087	0.0554920416655989	FALSE
E6.207	17	E6.13.1400	3.42898960436021	1.20166827598822	0.00156795151809002	0.049672704093092	FALSE
E6.272	16	E6.17.1612	-6.46275724991523	0.55029958609002	1.90646200180902e-07	2.63011145218611e-05	TRUE
E6.273	17	E6.17.1612	-3.57651608525559	0.774230111777457	0.00104173352132493	0.0343772062037227	TRUE
E6.304	5	E6.3.383	4.70101165514174	1.43386549472032	3.94501718583329e-05	0.00195278350698748	FALSE
E6.307	8	E6.3.383	-4.48636001431773	0.467195081525141	7.48727041161495e-05	0.00329439898111058	TRUE
E6.326	5	E6.3.384	5.32285262426959	1.49234911903152	6.03481586593629e-06	0.000434506742347413	FALSE
E6.329	8	E6.3.384	-4.06294560419669	0.522205959596049	0.000260121552904162	0.0103008134950048	TRUE
E6.348	5	E6.3.389	5.74368994112203	1.53192851755434	1.6808760199713e-06	0.000147917089757474	FALSE
E6.351	8	E6.3.389	-4.29407564934327	0.492177064905273	0.000132268574662495	0.00551351111224716	TRUE
E6.375	1	E6.6.708	-6.99197514176965	0.769611221664709	3.91265859340246e-08	1.54941280298738e-05	TRUE
E6.383	17	E6.6.708	-5.34088147569903	0.666578053967264	5.71350377106495e-06	0.000434506742347413	TRUE
E6.387	20	E6.6.708	-5.09914765770834	0.610995546391374	1.18878342453425e-05	0.000724243440177787	TRUE
E6.388	21	E6.6.708	4.62478704110234	1.81922720465492	4.95587996162847e-05	0.0023088570174175	FALSE
E6.392	5	E6.6.708	-3.7001251646062	0.643745586342141	0.000736135680221374	0.0253486721189273	TRUE
E6.394	7	E6.6.708	3.24794978579821	1.26981061124997	0.00256634891142749	0.0655660754145345	FALSE
E6.512	14	E6.6.715	3.18265967020187	1.43580003769883	0.00305728581330203	0.0733748595192486	FALSE
E6.619	11	E6.6.720	3.2637994325344	1.27562870773389	0.00245904380970855	0.0649187565763056	FALSE
E6.728	10	E6.7.737	-3.39082359324718	0.563314087427963	0.00174107671263244	0.053035875246342	TRUE
E6.729	11	E6.7.737	3.87836284637808	1.32566710128842	0.000443199520365362	0.015955182733153	FALSE
E6.732	14	E6.7.737	6.44809664019097	1.87576979770506	1.99250867589857e-07	2.63011145218611e-05	FALSE
E6.733	15	E6.7.737	6.63656866944659	1.54213817366566	1.13078261742996e-07	2.63011145218611e-05	FALSE
E6.738	2	E6.7.737	3.26621694481709	1.35218185967223	0.00244305785718947	0.0649187565763056	FALSE
E6.742	3	E6.7.737	-3.07226554944535	0.793618833496068	0.00409627251546495	0.0901179953402288	TRUE
E6.743	4	E6.7.737	-3.1184025161645	0.538948624501511	0.00362678686619598	0.0820690056579205	TRUE
E6.748	9	E6.7.737	-4.80209503537403	0.64518616958771	2.91265801095842e-05	0.00164021741429528	TRUE
