chr	cell	z	score	p	p.adj	monosomy
E6.92	12	E6.11.1068	7.34785540067973	1.45920709659069	0.000156217546452493	0.00687357204390971	FALSE
E6.94	14	E6.11.1068	12.881190484678	1.46449364440931	3.94664385170664e-06	0.000323891097937086	FALSE
E6.95	15	E6.11.1068	4.49829016294583	1.40349396294464	0.0028040692938253	0.0616895244641565	FALSE
E6.102	21	E6.11.1068	-3.87489673084973	0.601981009818789	0.00609301052988767	0.0974881684782027	TRUE
E6.106	5	E6.11.1068	12.2549750173944	1.52347118755345	5.52087098756397e-06	0.000323891097937086	FALSE
E6.107	6	E6.11.1068	-5.16095964439752	0.631128318871917	0.00130807108235116	0.0328886443562578	TRUE
E6.108	7	E6.11.1068	-32.524918500824	0.321969764188258	6.71970122814276e-09	1.18266741615313e-06	TRUE
E6.125	22	E6.12.1273	3.99916937787986	1.22415931980423	0.00519540390581729	0.0974881684782027	FALSE
E6.160	14	E6.6.723	-6.16347165441988	0.766985289800526	0.000461413997764403	0.016241772721307	TRUE
E6.173	6	E6.6.723	-3.88353445272714	0.736699391500158	0.00602543743643568	0.0974881684782027	TRUE
