chr	cell	z	score	p	p.adj	monosomy
E6.3	11	E6.1.72	5.08114919225357	1.26882636591213	6.24641293679816e-07	5.70043017639655e-05	FALSE
E6.7	15	E6.1.72	6.80711624214674	1.42277026311316	4.61007148586535e-11	7.57281076078148e-09	FALSE
E6.10	18	E6.1.72	-3.83533835884711	0.693567089127865	0.000149807430471097	0.00632786586309913	TRUE
E6.11	19	E6.1.72	3.30042676549629	1.37986654667717	0.00106931591506112	0.0291674658455049	FALSE
E6.12	2	E6.1.72	5.33560663786408	1.22415221181574	1.75748569320908e-07	1.70938608476336e-05	FALSE
E6.15	22	E6.1.72	2.96870092943789	1.27683339176185	0.00320610060129654	0.0691848103478156	FALSE
E6.16	3	E6.1.72	-4.53684194672405	0.768449576504799	7.96716854670569e-06	0.000550404765394845	TRUE
E6.17	4	E6.1.72	-4.09987317536079	0.726375879386457	5.1925259064533e-05	0.00254193056294721	TRUE
E6.21	8	E6.1.72	-3.36275298552567	0.795202756079877	0.000860999216506276	0.024478870032363	TRUE
E6.29	15	E6.1.73	4.12884662106386	1.25852124147759	4.60755834296119e-05	0.00228584370947444	FALSE
E6.30	16	E6.1.73	4.3510715986717	1.34865827335715	1.80106540718746e-05	0.0011002872305727	FALSE
E6.33	19	E6.1.73	3.33750275920727	1.38410522074241	0.00094036829863023	0.0261323400882506	FALSE
E6.37	22	E6.1.73	3.68590593604398	1.34598056190237	0.000265711015708813	0.00987002928703291	FALSE
E6.39	4	E6.1.73	-3.57569273359835	0.761325655831139	0.00040069017478531	0.0132820707265157	TRUE
E6.95	15	E6.1.79	3.69702319922004	1.23203900309545	0.000254783151178121	0.00951190431064983	FALSE
E6.117	15	E6.1.80	3.2872284436379	1.20690770669948	0.00111905436393363	0.030189962986122	FALSE
E6.135	11	E6.1.81	-10.6194403136762	0.444728105396738	6.72447619054553e-23	4.5188480000466e-20	TRUE
E6.139	15	E6.1.81	3.23935747459148	1.20397194557643	0.00131805150284359	0.0345497755639	FALSE
E6.161	15	E6.1.82	12.7225257226171	1.7855418870351	1.60481682800229e-30	1.69468657037042e-27	FALSE
E6.163	17	E6.1.82	4.11861890685954	1.24087081510562	4.80649295436144e-05	0.00236863972790932	FALSE
E6.165	19	E6.1.82	2.98392969262051	1.34368335102282	0.00305472726529825	0.0680136865815802	FALSE
E6.166	2	E6.1.82	9.1014918624965	1.38272885262448	8.16099697770802e-18	2.41304358636871e-15	FALSE
E6.180	12	E6.1.83	6.94357659295996	1.30605637789725	1.99256120491428e-11	3.50690772064913e-09	FALSE
E6.183	15	E6.1.83	9.22144752192617	1.57083285826278	3.35483213667159e-18	1.12722359792165e-15	FALSE
E6.192	3	E6.1.83	-6.3278993950869	0.679182635201244	7.96615688390554e-10	1.15462415070254e-07	TRUE
E6.194	5	E6.1.83	-7.41428152765837	0.732903426080081	1.00925021203986e-12	1.96325725457858e-10	TRUE
E6.205	15	E6.1.84	8.34268274575333	1.51694125093617	1.92048438873413e-15	4.43631893797583e-13	FALSE
E6.249	15	E6.1.86	3.78462199848804	1.23741113477441	0.000182347545723753	0.00736564512562834	FALSE
E6.254	2	E6.1.86	-8.26156661164556	0.651592526698895	3.38359079756985e-15	7.57924338655647e-13	TRUE
E6.260	5	E6.1.86	-12.7699167899037	0.538245868009821	1.06584789836458e-30	1.31312461078516e-27	TRUE
E6.293	15	E6.1.89	3.64212338910685	1.22867218743653	0.000313187883306088	0.0112930967482859	FALSE
E6.315	15	E6.1.90	4.30034944340596	1.2690389169781	2.23956499093066e-05	0.00130353263094169	FALSE
E6.331	1	E6.11.1064	8.36311594427037	1.26448487450582	1.6642280867702e-15	3.96837871529203e-13	FALSE
E6.333	11	E6.11.1064	-5.67484359890785	0.704261898701235	3.00698729251823e-08	3.31755971138727e-06	TRUE
E6.335	13	E6.11.1064	3.67422674817565	1.2892716773282	0.000277665728069011	0.0102625253094306	FALSE
E6.336	14	E6.11.1064	-5.70300826903476	0.705092773124801	2.58720692043849e-08	2.94225131628943e-06	TRUE
E6.337	15	E6.11.1064	-4.12887968984678	0.752103419752467	4.60692804336175e-05	0.00228584370947444	TRUE
E6.341	19	E6.11.1064	5.16189005722422	1.59267638367183	4.19929121062768e-07	3.97963597807177e-05	FALSE
E6.347	4	E6.11.1064	7.40085060192464	1.4931876353091	1.10097151736916e-12	2.08676447599816e-10	FALSE
E6.348	5	E6.11.1064	11.7640042876718	1.42996327089493	5.60552407630216e-27	4.14360339720256e-24	FALSE
E6.351	8	E6.11.1064	-9.32944488934883	0.440573046096136	1.49834975528955e-18	5.27419113861922e-16	TRUE
E6.352	9	E6.11.1064	3.34529948493141	1.21565678551808	0.000915162269937609	0.0258201507609878	FALSE
E6.362	18	E6.11.1071	4.89835169047413	1.38709709739558	1.50689497881612e-06	0.000121075735689225	FALSE
E6.369	4	E6.11.1071	12.1438644781855	1.80942849712375	2.27405839175141e-28	1.86775995909182e-25	FALSE
E6.373	8	E6.11.1071	-3.66758101286604	0.777085334119249	0.000284692413496656	0.010469882191877	TRUE
E6.377	11	E6.11.1074	4.23393759542754	1.22435761504331	2.96969415686853e-05	0.00164659263482658	FALSE
E6.378	12	E6.11.1074	-8.05506070879338	0.656215318739332	1.40808551317626e-14	2.97387660382827e-12	TRUE
E6.379	13	E6.11.1074	6.29705764483629	1.48571162750717	9.51950134469667e-10	1.35323372961534e-07	FALSE
E6.380	14	E6.11.1074	4.82553273855247	1.25821187239395	2.1248282145541e-06	0.000168889571634236	FALSE
E6.381	15	E6.11.1074	7.05042271972175	1.43769140868593	1.02469026811652e-11	1.84744157607739e-09	FALSE
E6.384	18	E6.11.1074	-4.96862835581158	0.603574128932812	1.0773733921087e-06	9.04993649371308e-05	TRUE
E6.385	19	E6.11.1074	-3.80685565485996	0.567333943927307	0.000167336033226241	0.00691032378552162	TRUE
E6.388	21	E6.11.1074	-5.51025414441517	0.358602983403659	7.15698818370362e-08	7.55777952199103e-06	TRUE
E6.391	4	E6.11.1074	4.03130432731268	1.2685228450286	6.87134322279488e-05	0.00313536846314196	FALSE
E6.392	5	E6.11.1074	-12.5331693572514	0.546850762641908	8.19064033205229e-30	7.56815166681632e-27	TRUE
E6.394	7	E6.11.1074	13.5105009508233	1.53410803483354	1.67243893181238e-33	3.09066714598927e-30	FALSE
E6.395	8	E6.11.1074	-3.57916582781006	0.782340281406617	0.000395597886538111	0.0132752136720106	TRUE
E6.399	11	E6.11.1076	-4.40992551753032	0.770655379669831	1.39508611175736e-05	0.000883196904713146	TRUE
E6.400	12	E6.11.1076	-5.04499906883538	0.786631276195165	7.44982545856406e-07	6.55584640353637e-05	TRUE
E6.415	6	E6.11.1076	-4.02880968070904	0.781020075595865	6.94123161559802e-05	0.00314782724555218	TRUE
E6.446	14	E6.12.1267	-4.64314323438616	0.760773003926888	4.93468314086307e-06	0.000354147357060775	TRUE
E6.447	15	E6.12.1267	4.81183179594778	1.30040636233444	2.2657086197267e-06	0.000176295980179155	FALSE
E6.448	16	E6.12.1267	-4.96121489219325	0.590535891913175	1.11638948826968e-06	9.27230460369606e-05	TRUE
E6.451	19	E6.12.1267	-3.06098427033751	0.652604907080097	0.0023844111494237	0.0561323796705094	TRUE
E6.452	2	E6.12.1267	-5.03237652875472	0.787569617165774	7.92065284271501e-07	6.88817244862934e-05	TRUE
E6.453	20	E6.12.1267	-9.48980332112704	0.459361037081523	4.48334972601462e-19	1.94946595145295e-16	TRUE
E6.461	8	E6.12.1267	-4.27211508880504	0.741154914469431	2.52611080193848e-05	0.00143638546522533	TRUE
E6.781	19	E6.12.1293	3.0327968686006	1.3492700396247	0.00261212021803208	0.060529130569571	FALSE
E6.842	14	E6.12.1296	4.1310127661189	1.22172512068732	4.56644411783127e-05	0.00228584370947444	FALSE
E6.844	16	E6.12.1296	3.08600257836235	1.24566776299122	0.00219774579694228	0.0534399241151229	FALSE
E6.871	20	E6.12.1297	-3.61282840590024	0.786600992895402	0.000349292252039533	0.012065272556431	TRUE
E6.872	21	E6.12.1297	-3.23479181457258	0.625453908901132	0.00133865239839609	0.0349657898549254	TRUE
E6.875	4	E6.12.1297	5.11714425939867	1.34092131673333	5.23617497733565e-07	4.83822567905815e-05	FALSE
E6.1218	16	E6.13.1370	3.18975372239638	1.25411424543887	0.0015584752748135	0.0398624540879632	FALSE
E6.1240	16	E6.13.1372	3.14073021153239	1.25012319331226	0.00183539035013102	0.0458351536086773	FALSE
E6.1293	4	E6.13.1374	-3.02419972557769	0.798096500001365	0.00268544658489149	0.0620338161109935	TRUE
E6.1403	4	E6.13.1380	-4.09825768525897	0.726483592329194	5.22714083700019e-05	0.00254204112283588	TRUE
E6.1887	4	E6.14.1407	4.07139246243208	1.27119572491667	5.83599106039729e-05	0.00274774814767241	FALSE
E6.1988	16	E6.14.1413	3.00394507287503	1.2389873809458	0.00286573147575235	0.064980021683317	FALSE
E6.1991	19	E6.14.1413	3.73181507046816	1.42918456184858	0.000223256288749215	0.00864036903892252	FALSE
E6.1995	22	E6.14.1413	3.33848985343951	1.31248548204078	0.000937141781960884	0.0261323400882506	FALSE
E6.2393	4	E6.14.1432	5.76702982909365	1.38425249349204	1.83430599917047e-08	2.11862342904189e-06	FALSE
E6.2398	9	E6.14.1432	4.05846517352338	1.25742664685816	6.15245961340181e-05	0.00286031329951359	FALSE
E6.2559	15	E6.15.1441	3.47074055284581	1.21816187026778	0.000586948823461319	0.01778166271732	FALSE
E6.2569	4	E6.15.1441	3.1117150345486	1.20720914912845	0.0020199997581448	0.0496074359209514	FALSE
E6.2574	9	E6.15.1441	5.0564243349281	1.31587676085234	7.0470952085249e-07	6.27615997366458e-05	FALSE
E6.2646	14	E6.15.1446	3.76993177335988	1.2027556553707	0.000192954229467949	0.00770982521203828	FALSE
E6.2650	18	E6.15.1446	3.52044945546327	1.27767982439384	0.000490427061628038	0.0154924651263011	FALSE
E6.2652	2	E6.15.1446	5.07619096470826	1.21322854750618	6.39957125868201e-07	5.76897935904603e-05	FALSE
E6.2661	8	E6.15.1446	-3.63092811815194	0.779263795087578	0.000326550007922997	0.0115425176611393	TRUE
E6.3063	13	E6.15.1471	5.92100002793336	1.45754635782742	7.92596481052131e-09	9.93029353887687e-07	FALSE
E6.3076	5	E6.15.1471	6.12877956868746	1.22514366887543	2.48746330036562e-09	3.35750402339011e-07	FALSE
E6.3077	6	E6.15.1471	4.42904009358695	1.24127283691349	1.28326084729363e-05	0.000845990296752054	FALSE
E6.3323	1	E6.16.1496	6.36264461487821	1.2009430911009	6.51262522644418e-10	1.0029442848724e-07	FALSE
E6.3325	11	E6.16.1496	4.90064043291682	1.25935175640648	1.49060778284955e-06	0.000121075735689225	FALSE
E6.3338	3	E6.16.1496	4.31875952826498	1.20981590889024	2.06975548083899e-05	0.00121425654875887	FALSE
E6.3340	5	E6.16.1496	10.3997997434993	1.38037947508475	3.87470461012415e-22	2.38681803983648e-19	FALSE
E6.3341	6	E6.16.1496	-7.52685179261931	0.59066631143882	4.84770329780199e-13	9.95395077148676e-11	TRUE
E6.3344	9	E6.16.1496	3.5567068013628	1.22803883703132	0.000429632140182324	0.013929126229069	FALSE
E6.3373	15	E6.16.1498	3.47582290679061	1.21847355347416	0.000576320324476893	0.017677011778146	FALSE
E6.3507	17	E6.17.1571	-4.46747161386782	0.710881478887601	1.08386614776719e-05	0.000721796267053608	TRUE
E6.3509	19	E6.17.1571	-4.16761561850017	0.5260904397456	3.92238697669758e-05	0.00205633223629422	TRUE
E6.3534	21	E6.17.1572	2.97628370742589	1.35384709284571	0.00312989006583506	0.0688575814483714	FALSE
E6.3556	21	E6.17.1573	3.00910408986678	1.35769604666695	0.0028187870290803	0.0643101040708691	FALSE
E6.3578	21	E6.17.1574	3.25855325257846	1.38694976757508	0.00123461172582052	0.0328282369685803	FALSE
E6.3600	21	E6.17.1575	3.5189152999478	1.41748327823519	0.000493169206924558	0.0155127947982397	FALSE
E6.3622	21	E6.17.1576	3.5634951584534	1.4227113043575	0.000419065950010102	0.0137067942587375	FALSE
E6.3679	13	E6.17.1581	-3.16855295078026	0.776773786267079	0.00167311343625467	0.0425005309992939	TRUE
E6.3710	21	E6.17.1582	2.931119033956	1.34855048355573	0.00360949667233488	0.0747378134506986	FALSE
E6.3732	21	E6.17.1583	3.06768810586196	1.36456638623823	0.00233301260047058	0.0554521837385161	FALSE
E6.3741	1	E6.17.1584	8.6787148452848	1.27450937059154	1.77248898180989e-16	4.85268094575508e-14	FALSE
E6.3742	10	E6.17.1584	-5.41869466323416	0.700269855383799	1.14946651578733e-07	1.18011895620832e-05	TRUE
E6.3746	14	E6.17.1584	-4.34316876308605	0.776532225384989	1.86351580130384e-05	0.0011199275449787	TRUE
E6.3753	20	E6.17.1584	-4.74891749098981	0.723341620962046	3.03679050681034e-06	0.000226747024508505	TRUE
E6.3754	21	E6.17.1584	2.82319592153282	1.33589398643205	0.00503905105968407	0.0967497803459341	FALSE
E6.3759	6	E6.17.1584	6.12802126098287	1.33372668683845	2.49814287454621e-09	3.35750402339011e-07	FALSE
E6.3760	7	E6.17.1584	-9.41871661911699	0.628736272414198	7.66502059978414e-19	2.83299161368022e-16	TRUE
E6.3761	8	E6.17.1584	-4.78807258549226	0.710489034554149	2.53163892143708e-06	0.0001929265454357	TRUE
E6.3773	19	E6.17.1585	-3.03954422473035	0.655056017790199	0.0025558637519175	0.0594117762709878	TRUE
E6.3798	21	E6.17.1587	3.1055511246341	1.36900670654982	0.00206135923586326	0.0504555214288121	FALSE
E6.3820	21	E6.17.1589	3.01680759155073	1.35859946155849	0.00275000095038608	0.0631304566001675	FALSE
E6.3842	21	E6.17.1590	8.40491176425423	1.99048009799258	1.24076830941755e-15	3.05725311440484e-13	FALSE
E6.3886	21	E6.17.1592	3.21997169070428	1.3824251813588	0.00140759706755839	0.0365086228890933	FALSE
E6.3908	21	E6.17.1593	2.95898591547573	1.35181852408831	0.00330622287638985	0.0706564798488608	FALSE
E6.3952	21	E6.17.1596	3.37470211962868	1.40057092590468	0.00082565602491435	0.0237997977317405	FALSE
E6.3974	21	E6.17.1598	2.95239967006337	1.35104613350166	0.00337571869316601	0.0710920586321456	FALSE
E6.4010	14	E6.17.1600	-4.41404613729597	0.772808667737893	1.37021704736404e-05	0.000880751688183913	TRUE
E6.4012	16	E6.17.1600	-3.76493642249309	0.68792609604928	0.00019669179861676	0.00779049854531185	TRUE
E6.4015	19	E6.17.1600	-4.08244773353524	0.535827168800161	5.57769378672502e-05	0.00267729301762801	TRUE
E6.4022	5	E6.17.1600	-5.81659321080538	0.790973494538327	1.40270142582796e-08	1.64583633963814e-06	TRUE
E6.4023	6	E6.17.1600	4.58503987543435	1.24976191301158	6.41881416236888e-06	0.000451884517030769	FALSE
E6.4040	21	E6.17.1601	2.97423025633847	1.35360627790628	0.00315036274046231	0.0691023186275887	FALSE
E6.4062	21	E6.17.1602	2.89902376109727	1.34478656571182	0.00399014794731803	0.0805965980991548	FALSE
E6.4084	21	E6.17.1603	2.87547291575079	1.34202468088757	0.00429237131877208	0.0848374566533776	FALSE
E6.4103	19	E6.17.1605	-2.87323937244164	0.674068645470936	0.00432209020095737	0.0851970420412716	TRUE
E6.4128	21	E6.17.1606	3.62811831542711	1.43028987378528	0.000329986805884823	0.0115604856355479	FALSE
E6.4166	16	E6.17.1608	-3.7279941403889	0.690933603487145	0.000226529727144019	0.00872139449504471	TRUE
E6.4216	21	E6.17.1610	3.15477821851393	1.3747797291963	0.00175172143481552	0.0441936001575302	FALSE
E6.4229	13	E6.17.1611	3.11952491963306	1.24772664302888	0.00196869454510206	0.0486708698240617	FALSE
E6.4232	16	E6.17.1611	-4.67826612297881	0.613571028874857	4.20406779507987e-06	0.000304671266090494	TRUE
E6.4233	17	E6.17.1611	-4.14240172763754	0.730946905965472	4.35596376465731e-05	0.00220543042111964	TRUE
E6.4235	19	E6.17.1611	-4.17355731381016	0.525411161665818	3.82637669297052e-05	0.00202032689388843	TRUE
E6.4239	22	E6.17.1611	-4.04053530569196	0.601058897661321	6.61850581624097e-05	0.00305774968710333	TRUE
E6.4254	16	E6.17.1613	-3.79441940786287	0.685525857278433	0.000175582282213387	0.00719468061606281	TRUE
E6.4257	19	E6.17.1613	-3.43541709904463	0.609798266950951	0.000666038668340508	0.019772521431217	TRUE
E6.4261	22	E6.17.1613	-3.12798112677864	0.689040072486577	0.00191450018770386	0.0474898838506945	TRUE
E6.4276	16	E6.17.1614	-2.86123430274088	0.761497372428566	0.00448506075667853	0.087707854797269	TRUE
