ngenes	zeros	residual
ENSG00000000419	3125	0	-0.0331832763148396
ENSG00000001630	3125	0	-0.0331832763148396
ENSG00000002549	3125	0	-0.0331832763148396
ENSG00000002834	3125	0	-0.0331832763148396
ENSG00000003056	3125	0	-0.0331832763148396
ENSG00000003402	3125	0	-0.0331832763148396
ENSG00000003509	3125	0	-0.0331832763148396
ENSG00000003756	3125	0	-0.0331832763148396
ENSG00000003989	3125	0	-0.0331832763148396
ENSG00000004059	3125	0	-0.0331832763148396
ENSG00000004142	3125	0	-0.0331832763148396
ENSG00000004455	3125	0	-0.0331832763148396
ENSG00000004478	3125	0	-0.0331832763148396
ENSG00000004534	3125	0	-0.0331832763148396
ENSG00000004779	3125	0	-0.0331832763148396
ENSG00000004897	3125	0	-0.0331832763148396
ENSG00000005075	3125	0	-0.0331832763148396
ENSG00000005156	3125	0	-0.0331832763148396
ENSG00000005194	3125	0	-0.0331832763148396
ENSG00000005801	3125	0	-0.0331832763148396
ENSG00000006007	3125	0	-0.0331832763148396
ENSG00000006125	3125	0	-0.0331832763148396
ENSG00000006451	3125	0	-0.0331832763148396
ENSG00000006625	3125	0	-0.0331832763148396
ENSG00000006634	3125	0	-0.0331832763148396
ENSG00000006652	3125	0	-0.0331832763148396
ENSG00000006712	3125	0	-0.0331832763148396
ENSG00000006744	3125	0	-0.0331832763148396
ENSG00000007062	3125	0	-0.0331832763148396
ENSG00000007080	3125	0	-0.0331832763148396
ENSG00000007168	3125	0	-0.0331832763148396
ENSG00000007202	3125	0	-0.0331832763148396
ENSG00000007237	3125	0	-0.0331832763148396
ENSG00000007376	3125	0.05	-0.0331832763148396
ENSG00000007392	3125	0	-0.0331832763148396
ENSG00000007923	3125	0	-0.0331832763148396
ENSG00000008018	3125	0	-0.0331832763148396
ENSG00000008083	3125	0	-0.0331832763148396
ENSG00000008282	3125	0	-0.0331832763148396
ENSG00000008324	3125	0	-0.0331832763148396
ENSG00000008952	3125	0	-0.0331832763148396
ENSG00000008988	3125	0	-0.0331832763148396
ENSG00000009307	3125	0	-0.0331832763148396
ENSG00000009844	3125	0	-0.0331832763148396
ENSG00000009954	3125	0	-0.0331832763148396
ENSG00000010165	3125	0.05	-0.0331832763148396
ENSG00000010244	3125	0	-0.0331832763148396
ENSG00000010256	3125	0	-0.0331832763148396
ENSG00000010278	3125	0	-0.0331832763148396
ENSG00000010292	3125	0	-0.0331832763148396
ENSG00000011007	3125	0	-0.0331832763148396
ENSG00000011009	3125	0	-0.0331832763148396
ENSG00000011052	3125	0	-0.0331832763148396
ENSG00000011260	3125	0	-0.0331832763148396
ENSG00000011304	3125	0	-0.0331832763148396
ENSG00000011405	3125	0	-0.0331832763148396
ENSG00000011426	3125	0	-0.0331832763148396
ENSG00000011485	3125	0	-0.0331832763148396
ENSG00000012660	3125	0	-0.0331832763148396
ENSG00000013275	3125	0	-0.0331832763148396
ENSG00000013306	3125	0	-0.0331832763148396
ENSG00000013364	3125	0	-0.0331832763148396
ENSG00000013375	3125	0.05	-0.0331832763148396
ENSG00000013441	3125	0	-0.0331832763148396
ENSG00000013810	3125	0	-0.0331832763148396
ENSG00000014216	3125	0	-0.0331832763148396
ENSG00000014641	3125	0	-0.0331832763148396
ENSG00000015479	3125	0	-0.0331832763148396
ENSG00000017797	3125	0	-0.0331832763148396
ENSG00000018408	3125	0	-0.0331832763148396
ENSG00000021776	3125	0	-0.0331832763148396
ENSG00000022277	3125	0	-0.0331832763148396
ENSG00000022556	3125	0	-0.0331832763148396
ENSG00000022840	3125	0	-0.0331832763148396
ENSG00000023228	3125	0	-0.0331832763148396
ENSG00000023287	3125	0	-0.0331832763148396
ENSG00000023318	3125	0	-0.0331832763148396
ENSG00000023330	3125	0	-0.0331832763148396
ENSG00000023734	3125	0	-0.0331832763148396
ENSG00000025770	3125	0	-0.0331832763148396
ENSG00000025796	3125	0	-0.0331832763148396
ENSG00000025800	3125	0	-0.0331832763148396
ENSG00000028839	3125	0	-0.0331832763148396
ENSG00000029363	3125	0	-0.0331832763148396
ENSG00000029725	3125	0	-0.0331832763148396
ENSG00000030066	3125	0	-0.0331832763148396
ENSG00000030110	3125	0	-0.0331832763148396
ENSG00000030582	3125	0	-0.0331832763148396
ENSG00000031698	3125	0	-0.0331832763148396
ENSG00000031823	3125	0	-0.0331832763148396
ENSG00000033011	3125	0	-0.0331832763148396
ENSG00000033030	3125	0	-0.0331832763148396
ENSG00000033050	3125	0	-0.0331832763148396
ENSG00000033170	3125	0.05	-0.0331832763148396
ENSG00000034510	3125	0	-0.0331832763148396
ENSG00000034713	3125	0	-0.0331832763148396
ENSG00000035141	3125	0	-0.0331832763148396
ENSG00000035403	3125	0	-0.0331832763148396
ENSG00000035681	3125	0	-0.0331832763148396
ENSG00000035687	3125	0	-0.0331832763148396
ENSG00000036054	3125	0	-0.0331832763148396
ENSG00000037241	3125	0	-0.0331832763148396
ENSG00000037474	3125	0	-0.0331832763148396
ENSG00000038219	3125	0	-0.0331832763148396
ENSG00000038274	3125	0	-0.0331832763148396
ENSG00000038358	3125	0.05	-0.0331832763148396
ENSG00000038427	3125	0	-0.0331832763148396
ENSG00000039068	3125	0	-0.0331832763148396
ENSG00000039123	3125	0	-0.0331832763148396
ENSG00000040531	3125	0	-0.0331832763148396
ENSG00000041357	3125	0	-0.0331832763148396
ENSG00000041802	3125	0	-0.0331832763148396
ENSG00000042493	3125	0	-0.0331832763148396
ENSG00000042753	3125	0	-0.0331832763148396
ENSG00000043093	3125	0	-0.0331832763148396
ENSG00000044115	3125	0	-0.0331832763148396
ENSG00000044574	3125	0	-0.0331832763148396
ENSG00000046604	3125	0	-0.0331832763148396
ENSG00000047249	3125	0	-0.0331832763148396
ENSG00000047315	3125	0	-0.0331832763148396
ENSG00000047410	3125	0	-0.0331832763148396
ENSG00000047849	3125	0	-0.0331832763148396
ENSG00000048028	3125	0	-0.0331832763148396
ENSG00000048162	3125	0	-0.0331832763148396
ENSG00000048544	3125	0	-0.0331832763148396
ENSG00000048828	3125	0	-0.0331832763148396
ENSG00000049245	3125	0	-0.0331832763148396
ENSG00000049449	3125	0	-0.0331832763148396
ENSG00000049541	3125	0	-0.0331832763148396
ENSG00000049860	3125	0	-0.0331832763148396
ENSG00000050393	3125	0	-0.0331832763148396
ENSG00000050405	3125	0	-0.0331832763148396
ENSG00000051108	3125	0	-0.0331832763148396
ENSG00000051180	3125	0	-0.0331832763148396
ENSG00000051596	3125	0	-0.0331832763148396
ENSG00000052344	3125	0	-0.0331832763148396
ENSG00000052723	3125	0	-0.0331832763148396
ENSG00000052749	3125	0	-0.0331832763148396
ENSG00000052802	3125	0	-0.0331832763148396
ENSG00000053254	3125	0	-0.0331832763148396
ENSG00000053372	3125	0	-0.0331832763148396
ENSG00000053900	3125	0	-0.0331832763148396
ENSG00000054116	3125	0	-0.0331832763148396
ENSG00000054118	3125	0	-0.0331832763148396
ENSG00000054148	3125	0	-0.0331832763148396
ENSG00000054654	3125	0	-0.0331832763148396
ENSG00000055044	3125	0	-0.0331832763148396
ENSG00000055070	3125	0	-0.0331832763148396
ENSG00000055130	3125	0	-0.0331832763148396
ENSG00000055483	3125	0	-0.0331832763148396
ENSG00000055609	3125	0	-0.0331832763148396
ENSG00000055950	3125	0	-0.0331832763148396
ENSG00000056097	3125	0	-0.0331832763148396
ENSG00000057252	3125	0	-0.0331832763148396
ENSG00000057294	3125	0	-0.0331832763148396
ENSG00000057608	3125	0	-0.0331832763148396
ENSG00000057663	3125	0	-0.0331832763148396
ENSG00000057757	3125	0	-0.0331832763148396
ENSG00000058262	3125	0	-0.0331832763148396
ENSG00000058272	3125	0	-0.0331832763148396
ENSG00000058600	3125	0	-0.0331832763148396
ENSG00000058673	3125	0	-0.0331832763148396
ENSG00000058804	3125	0	-0.0331832763148396
ENSG00000059804	3125	0	-0.0331832763148396
ENSG00000060237	3125	0	-0.0331832763148396
ENSG00000060339	3125	0	-0.0331832763148396
ENSG00000060656	3125	0	-0.0331832763148396
ENSG00000060688	3125	0	-0.0331832763148396
ENSG00000060971	3125	0	-0.0331832763148396
ENSG00000060982	3125	0	-0.0331832763148396
ENSG00000061794	3125	0	-0.0331832763148396
ENSG00000062038	3125	0	-0.0331832763148396
ENSG00000062194	3125	0	-0.0331832763148396
ENSG00000062485	3125	0	-0.0331832763148396
ENSG00000062582	3125	0	-0.0331832763148396
ENSG00000062650	3125	0	-0.0331832763148396
ENSG00000062716	3125	0	-0.0331832763148396
ENSG00000062822	3125	0	-0.0331832763148396
ENSG00000063046	3125	0	-0.0331832763148396
ENSG00000063177	3125	0	-0.0331832763148396
ENSG00000063322	3125	0	-0.0331832763148396
ENSG00000063978	3125	0	-0.0331832763148396
ENSG00000064419	3125	0	-0.0331832763148396
ENSG00000064547	3125	0	-0.0331832763148396
ENSG00000064601	3125	0	-0.0331832763148396
ENSG00000064666	3125	0	-0.0331832763148396
ENSG00000064995	3125	0	-0.0331832763148396
ENSG00000065000	3125	0	-0.0331832763148396
ENSG00000065057	3125	0	-0.0331832763148396
ENSG00000065135	3125	0	-0.0331832763148396
ENSG00000065150	3125	0	-0.0331832763148396
