ngenes	zeros	residual
ENSG00000000419	3043	0	-0.0558842644306458
ENSG00000001036	3043	0.03125	-0.0558842644306458
ENSG00000001630	3043	0	-0.0558842644306458
ENSG00000002549	3043	0	-0.0558842644306458
ENSG00000002834	3043	0	-0.0558842644306458
ENSG00000003056	3043	0	-0.0558842644306458
ENSG00000003989	3043	0	-0.0558842644306458
ENSG00000004059	3043	0	-0.0558842644306458
ENSG00000004142	3043	0	-0.0558842644306458
ENSG00000004455	3043	0	-0.0558842644306458
ENSG00000004478	3043	0	-0.0558842644306458
ENSG00000004487	3043	0	-0.0558842644306458
ENSG00000004534	3043	0	-0.0558842644306458
ENSG00000004779	3043	0	-0.0558842644306458
ENSG00000004864	3043	0	-0.0558842644306458
ENSG00000004897	3043	0	-0.0558842644306458
ENSG00000005075	3043	0	-0.0558842644306458
ENSG00000005156	3043	0	-0.0558842644306458
ENSG00000005194	3043	0	-0.0558842644306458
ENSG00000005801	3043	0	-0.0558842644306458
ENSG00000006007	3043	0	-0.0558842644306458
ENSG00000006125	3043	0	-0.0558842644306458
ENSG00000006327	3043	0	-0.0558842644306458
ENSG00000006451	3043	0	-0.0558842644306458
ENSG00000006453	3043	0	-0.0558842644306458
ENSG00000006625	3043	0	-0.0558842644306458
ENSG00000006634	3043	0	-0.0558842644306458
ENSG00000006652	3043	0	-0.0558842644306458
ENSG00000006744	3043	0	-0.0558842644306458
ENSG00000007062	3043	0	-0.0558842644306458
ENSG00000007080	3043	0	-0.0558842644306458
ENSG00000007202	3043	0	-0.0558842644306458
ENSG00000007376	3043	0	-0.0558842644306458
ENSG00000007392	3043	0	-0.0558842644306458
ENSG00000007923	3043	0	-0.0558842644306458
ENSG00000008018	3043	0	-0.0558842644306458
ENSG00000008083	3043	0	-0.0558842644306458
ENSG00000008282	3043	0	-0.0558842644306458
ENSG00000008324	3043	0	-0.0558842644306458
ENSG00000008394	3043	0	-0.0558842644306458
ENSG00000008513	3043	0	-0.0558842644306458
ENSG00000008952	3043	0	-0.0558842644306458
ENSG00000008988	3043	0	-0.0558842644306458
ENSG00000009307	3043	0	-0.0558842644306458
ENSG00000009844	3043	0	-0.0558842644306458
ENSG00000009954	3043	0	-0.0558842644306458
ENSG00000010165	3043	0	-0.0558842644306458
ENSG00000010244	3043	0	-0.0558842644306458
ENSG00000010256	3043	0	-0.0558842644306458
ENSG00000010278	3043	0	-0.0558842644306458
ENSG00000010292	3043	0	-0.0558842644306458
ENSG00000011007	3043	0	-0.0558842644306458
ENSG00000011009	3043	0	-0.0558842644306458
ENSG00000011052	3043	0	-0.0558842644306458
ENSG00000011198	3043	0	-0.0558842644306458
ENSG00000011260	3043	0	-0.0558842644306458
ENSG00000011304	3043	0	-0.0558842644306458
ENSG00000011426	3043	0	-0.0558842644306458
ENSG00000011485	3043	0	-0.0558842644306458
ENSG00000012660	3043	0	-0.0558842644306458
ENSG00000013275	3043	0	-0.0558842644306458
ENSG00000013306	3043	0	-0.0558842644306458
ENSG00000013375	3043	0	-0.0558842644306458
ENSG00000013810	3043	0	-0.0558842644306458
ENSG00000014216	3043	0	-0.0558842644306458
ENSG00000014641	3043	0	-0.0558842644306458
ENSG00000014919	3043	0	-0.0558842644306458
ENSG00000015479	3043	0	-0.0558842644306458
ENSG00000017797	3043	0	-0.0558842644306458
ENSG00000018408	3043	0	-0.0558842644306458
ENSG00000022277	3043	0	-0.0558842644306458
ENSG00000022556	3043	0	-0.0558842644306458
ENSG00000022840	3043	0	-0.0558842644306458
ENSG00000023041	3043	0	-0.0558842644306458
ENSG00000023191	3043	0	-0.0558842644306458
ENSG00000023228	3043	0	-0.0558842644306458
ENSG00000023287	3043	0	-0.0558842644306458
ENSG00000023318	3043	0	-0.0558842644306458
ENSG00000023330	3043	0	-0.0558842644306458
ENSG00000023734	3043	0	-0.0558842644306458
ENSG00000023909	3043	0	-0.0558842644306458
ENSG00000025770	3043	0	-0.0558842644306458
ENSG00000025772	3043	0	-0.0558842644306458
ENSG00000025796	3043	0	-0.0558842644306458
ENSG00000025800	3043	0	-0.0558842644306458
ENSG00000029363	3043	0	-0.0558842644306458
ENSG00000030066	3043	0	-0.0558842644306458
ENSG00000031698	3043	0	-0.0558842644306458
ENSG00000033011	3043	0	-0.0558842644306458
ENSG00000033030	3043	0	-0.0558842644306458
ENSG00000033050	3043	0	-0.0558842644306458
ENSG00000033170	3043	0	-0.0558842644306458
ENSG00000033327	3043	0	-0.0558842644306458
ENSG00000034510	3043	0	-0.0558842644306458
ENSG00000034713	3043	0	-0.0558842644306458
ENSG00000035141	3043	0	-0.0558842644306458
ENSG00000035687	3043	0	-0.0558842644306458
ENSG00000037241	3043	0	-0.0558842644306458
ENSG00000037474	3043	0	-0.0558842644306458
ENSG00000038274	3043	0	-0.0558842644306458
ENSG00000038358	3043	0	-0.0558842644306458
ENSG00000039068	3043	0	-0.0558842644306458
ENSG00000039123	3043	0	-0.0558842644306458
ENSG00000040275	3043	0	-0.0558842644306458
ENSG00000041357	3043	0	-0.0558842644306458
ENSG00000041802	3043	0	-0.0558842644306458
ENSG00000042753	3043	0	-0.0558842644306458
ENSG00000043093	3043	0	-0.0558842644306458
ENSG00000044115	3043	0	-0.0558842644306458
ENSG00000044574	3043	0	-0.0558842644306458
ENSG00000046604	3043	0	-0.0558842644306458
ENSG00000047249	3043	0	-0.0558842644306458
ENSG00000047315	3043	0	-0.0558842644306458
ENSG00000047410	3043	0	-0.0558842644306458
ENSG00000047849	3043	0	-0.0558842644306458
ENSG00000048162	3043	0	-0.0558842644306458
ENSG00000048544	3043	0	-0.0558842644306458
ENSG00000048828	3043	0	-0.0558842644306458
ENSG00000049245	3043	0	-0.0558842644306458
ENSG00000049449	3043	0	-0.0558842644306458
ENSG00000049541	3043	0	-0.0558842644306458
ENSG00000049860	3043	0	-0.0558842644306458
ENSG00000050130	3043	0	-0.0558842644306458
ENSG00000050393	3043	0	-0.0558842644306458
ENSG00000050405	3043	0	-0.0558842644306458
ENSG00000051108	3043	0	-0.0558842644306458
ENSG00000051180	3043	0	-0.0558842644306458
ENSG00000051596	3043	0	-0.0558842644306458
ENSG00000052344	3043	0	-0.0558842644306458
ENSG00000052723	3043	0	-0.0558842644306458
ENSG00000052749	3043	0	-0.0558842644306458
ENSG00000052802	3043	0	-0.0558842644306458
ENSG00000053371	3043	0	-0.0558842644306458
ENSG00000053372	3043	0	-0.0558842644306458
ENSG00000054116	3043	0	-0.0558842644306458
ENSG00000054118	3043	0	-0.0558842644306458
ENSG00000054148	3043	0	-0.0558842644306458
ENSG00000054654	3043	0	-0.0558842644306458
ENSG00000055044	3043	0	-0.0558842644306458
ENSG00000055070	3043	0	-0.0558842644306458
ENSG00000055130	3043	0.03125	-0.0558842644306458
ENSG00000055483	3043	0	-0.0558842644306458
ENSG00000055950	3043	0	-0.0558842644306458
ENSG00000056097	3043	0	-0.0558842644306458
ENSG00000057252	3043	0	-0.0558842644306458
ENSG00000057294	3043	0	-0.0558842644306458
ENSG00000057608	3043	0	-0.0558842644306458
ENSG00000057663	3043	0	-0.0558842644306458
ENSG00000057757	3043	0	-0.0558842644306458
ENSG00000058262	3043	0	-0.0558842644306458
ENSG00000058272	3043	0	-0.0558842644306458
ENSG00000058600	3043	0	-0.0558842644306458
ENSG00000058673	3043	0	-0.0558842644306458
ENSG00000058804	3043	0	-0.0558842644306458
ENSG00000059804	3043	0	-0.0558842644306458
ENSG00000060339	3043	0	-0.0558842644306458
ENSG00000060688	3043	0	-0.0558842644306458
ENSG00000060971	3043	0	-0.0558842644306458
ENSG00000060982	3043	0	-0.0558842644306458
ENSG00000061676	3043	0	-0.0558842644306458
ENSG00000061794	3043	0	-0.0558842644306458
ENSG00000062194	3043	0	-0.0558842644306458
ENSG00000062485	3043	0	-0.0558842644306458
ENSG00000062582	3043	0	-0.0558842644306458
ENSG00000062650	3043	0	-0.0558842644306458
ENSG00000062716	3043	0	-0.0558842644306458
ENSG00000062822	3043	0	-0.0558842644306458
ENSG00000063046	3043	0	-0.0558842644306458
ENSG00000063177	3043	0	-0.0558842644306458
ENSG00000063244	3043	0	-0.0558842644306458
ENSG00000063978	3043	0	-0.0558842644306458
ENSG00000064195	3043	0	-0.0558842644306458
ENSG00000064419	3043	0	-0.0558842644306458
ENSG00000064601	3043	0	-0.0558842644306458
ENSG00000064666	3043	0	-0.0558842644306458
ENSG00000064995	3043	0	-0.0558842644306458
ENSG00000065000	3043	0	-0.0558842644306458
ENSG00000065135	3043	0	-0.0558842644306458
ENSG00000065150	3043	0	-0.0558842644306458
ENSG00000065154	3043	0	-0.0558842644306458
ENSG00000065183	3043	0	-0.0558842644306458
ENSG00000065268	3043	0	-0.0558842644306458
ENSG00000065328	3043	0	-0.0558842644306458
ENSG00000065427	3043	0	-0.0558842644306458
ENSG00000065518	3043	0	-0.0558842644306458
ENSG00000065548	3043	0	-0.0558842644306458
ENSG00000065911	3043	0	-0.0558842644306458
ENSG00000065978	3043	0	-0.0558842644306458
ENSG00000066044	3043	0	-0.0558842644306458
ENSG00000066136	3043	0	-0.0558842644306458
ENSG00000066322	3043	0	-0.0558842644306458
ENSG00000066427	3043	0	-0.0558842644306458
ENSG00000066583	3043	0	-0.0558842644306458
ENSG00000066654	3043	0	-0.0558842644306458
ENSG00000067057	3043	0	-0.0558842644306458
ENSG00000067064	3043	0	-0.0558842644306458
ENSG00000067082	3043	0	-0.0558842644306458
ENSG00000067167	3043	0	-0.0558842644306458
ENSG00000067225	3043	0	-0.0558842644306458
ENSG00000067248	3043	0	-0.0558842644306458
ENSG00000067334	3043	0	-0.0558842644306458
ENSG00000067533	3043	0	-0.0558842644306458
ENSG00000067560	3043	0	-0.0558842644306458
ENSG00000067704	3043	0	-0.0558842644306458
ENSG00000068120	3043	0	-0.0558842644306458
ENSG00000068615	3043	0	-0.0558842644306458
ENSG00000068650	3043	0	-0.0558842644306458
ENSG00000068697	3043	0	-0.0558842644306458
ENSG00000068745	3043	0	-0.0558842644306458
ENSG00000068831	3043	0	-0.0558842644306458
ENSG00000069329	3043	0	-0.0558842644306458
ENSG00000069345	3043	0	-0.0558842644306458
ENSG00000069702	3043	0	-0.0558842644306458
ENSG00000069849	3043	0	-0.0558842644306458
