chr	cell	z	score	p	p.adj	monosomy
E7.1	1	E7.10.767	-3.32858502271977	0.863844238150976	0.00318950957643619	0.0643217764581299	TRUE
E7.2	10	E7.10.767	0.110909237805203	1.00183153145341	0.912741496852796	0.999651306310259	FALSE
E7.3	11	E7.10.767	1.88730038691209	1.10200246159696	0.0730199417725711	0.494244566350603	FALSE
E7.4	12	E7.10.767	-1.13095532143432	0.941926366376468	0.270825006455648	0.846691847068511	TRUE
E7.5	13	E7.10.767	-1.10518045533183	0.892775631715104	0.281583171299564	0.851409344994774	TRUE
E7.6	14	E7.10.767	1.82530992588304	1.05648252539033	0.0822116829931243	0.516759150242496	FALSE
E7.7	15	E7.10.767	-0.0194314163023845	0.955557855084828	0.984680391622288	0.999651306310259	TRUE
E7.8	16	E7.10.767	3.90487851038454	1.14024487588211	0.000815382738273738	0.0197322622662245	FALSE
E7.9	17	E7.10.767	-0.479694244338558	0.975132616108097	0.636403002180133	0.999651306310259	TRUE
E7.10	18	E7.10.767	-0.384095430173863	1.00266745926202	0.704769336426696	0.999651306310259	TRUE
E7.11	19	E7.10.767	1.87092638363852	1.15649552504197	0.0753559199714579	0.499620072139529	FALSE
E7.12	2	E7.10.767	0.138284769659855	1.01190646811065	0.891332803969928	0.999651306310259	FALSE
E7.13	20	E7.10.767	-0.218509321535323	0.980312718052494	0.829141834655646	0.999651306310259	TRUE
E7.14	21	E7.10.767	-3.51747701726976	0.566733977884104	0.00204621126941438	0.0450166479271163	TRUE
E7.15	22	E7.10.767	-2.33453857222007	0.857433941923198	0.0295769446230669	0.304579599948179	TRUE
E7.16	3	E7.10.767	-1.65287040193032	0.949904514408296	0.113230832966936	0.595692642999965	TRUE
E7.17	4	E7.10.767	-1.6718723852744	0.90224680809144	0.109385059730117	0.594269698891034	TRUE
E7.18	5	E7.10.767	-0.0133037327084183	0.998168468546593	0.989511052112879	0.999651306310259	TRUE
E7.19	6	E7.10.767	-0.000592159428377428	1.02648725667746	0.999533114421122	0.999651306310259	TRUE
E7.20	7	E7.10.767	0.44162389788171	1.01169310808854	0.663275365758767	0.999651306310259	FALSE
E7.21	8	E7.10.767	1.36833089972978	1.07703186481052	0.185671356940737	0.7631129201031	FALSE
E7.22	9	E7.10.767	-0.0897454263797328	1.01632629213189	0.929339967972809	0.999651306310259	TRUE
E7.23	1	E7.11.841	-0.950092747385577	0.958172725148608	0.35287233101066	0.948834490050886	TRUE
E7.24	10	E7.11.841	-0.0563998661837414	0.995027522889647	0.955556447365982	0.999651306310259	TRUE
E7.25	11	E7.11.841	-1.03474852021445	0.931992964195701	0.312555979665926	0.895130734664546	TRUE
E7.26	12	E7.11.841	0.168520147295158	1.00228323468651	0.867786644705088	0.999651306310259	FALSE
E7.27	13	E7.11.841	0.335815136468489	1.03338384948449	0.740342277840331	0.999651306310259	FALSE
E7.28	14	E7.11.841	-1.15026503277104	0.946692731406632	0.262965475763998	0.843043542317972	TRUE
E7.29	15	E7.11.841	-0.77371100849885	0.873658874181576	0.447724696006603	0.999651306310259	TRUE
E7.30	16	E7.11.841	-0.222951717392344	0.998535680892816	0.825727406831575	0.999651306310259	TRUE
E7.31	17	E7.11.841	1.94591542767697	1.076423744674	0.0651708482888007	0.477919554117872	FALSE
E7.32	18	E7.11.841	-2.31072121449803	0.896709273233168	0.0310955446257229	0.313546741642706	TRUE
E7.33	19	E7.11.841	-0.129620677145298	1.00146431910718	0.898100072090074	0.999651306310259	TRUE
E7.34	2	E7.11.841	0.642394643560525	1.02582681540937	0.527568597918402	0.999651306310259	FALSE
E7.35	20	E7.11.841	2.135778267756	1.04034744402492	0.0446337951775254	0.385763515462898	FALSE
E7.36	21	E7.11.841	1.48305098054113	1.20843643689112	0.152914211552221	0.727607155459349	FALSE
E7.37	22	E7.11.841	1.08492549332605	1.05560114410687	0.290253185793673	0.851409344994774	FALSE
E7.38	3	E7.11.841	-1.43542235725166	0.956134310575202	0.165894882605498	0.734429386568692	TRUE
E7.39	4	E7.11.841	0.738342154101203	1.0284685767875	0.468478418021322	0.999651306310259	FALSE
E7.40	5	E7.11.841	-0.0439691740736824	0.996817268045913	0.965344388234849	0.999651306310259	TRUE
E7.41	6	E7.11.841	-0.254306337516445	1.01342003502353	0.80173247491131	0.999651306310259	TRUE
E7.42	7	E7.11.841	-0.259198816421558	0.992364138281384	0.798005748945839	0.999651306310259	TRUE
E7.43	8	E7.11.841	-1.73522450835317	0.917611433543336	0.0973546326333306	0.574629782860147	TRUE
E7.44	9	E7.11.841	1.01209551730724	1.07949016473212	0.32301236454174	0.914257218936854	FALSE
E7.45	1	E7.11.842	-1.18595179120215	0.948818805029275	0.248887006520864	0.843043542317972	TRUE
E7.46	10	E7.11.842	1.82745137725785	1.07163865574273	0.0818780900805057	0.516759150242496	FALSE
E7.47	11	E7.11.842	0.178931140431979	1.0026067956786	0.859706833110332	0.999651306310259	FALSE
E7.48	12	E7.11.842	0.913166685125523	1.03686990761947	0.371520260366966	0.977259815313107	FALSE
E7.49	13	E7.11.842	-0.643371790393419	0.937837596995873	0.526946835392256	0.999651306310259	TRUE
E7.50	14	E7.11.842	4.69879530750841	1.16250552008797	0.000122416211652533	0.00423210331713043	FALSE
E7.51	15	E7.11.842	-0.724163885772652	0.879038654968363	0.476955996353934	0.999651306310259	TRUE
E7.52	16	E7.11.842	0.836960056565301	1.03492265321462	0.412038761530017	0.999651306310259	FALSE
E7.53	17	E7.11.842	0.778219626214751	1.02766189031781	0.445119941659798	0.999651306310259	FALSE
E7.54	18	E7.11.842	0.0303249884629714	1.02545924175001	0.976094229021842	0.999651306310259	FALSE
E7.55	19	E7.11.842	0.130319459531161	1.02160822556646	0.897553971617202	0.999651306310259	FALSE
E7.56	2	E7.11.842	-1.96507430821475	0.953824906185734	0.0627720796606605	0.470618692055933	TRUE
E7.57	20	E7.11.842	-0.829830145563671	0.96472393513629	0.415968932453169	0.999651306310259	TRUE
E7.58	21	E7.11.842	-0.0922789698860818	1.00627916402332	0.927351053419993	0.999651306310259	TRUE
E7.59	22	E7.11.842	0.684969390256381	1.03242260489068	0.500854474721185	0.999651306310259	FALSE
E7.60	3	E7.11.842	-1.19460990702749	0.963033487257002	0.24555807329372	0.843043542317972	TRUE
E7.61	4	E7.11.842	1.34725742040605	1.0603571745216	0.192255761677053	0.7631129201031	FALSE
E7.62	5	E7.11.842	-0.0605925505610369	0.996084798085179	0.952256664820078	0.999651306310259	TRUE
E7.63	6	E7.11.842	-0.593342955123188	0.995958391119943	0.559288662995971	0.999651306310259	TRUE
E7.64	7	E7.11.842	-1.30868325565989	0.963418939124585	0.204783493795538	0.78043473226016	TRUE
E7.65	8	E7.11.842	-0.182053787407671	0.997393204321399	0.857286421053091	0.999651306310259	TRUE
E7.66	9	E7.11.842	-1.6662826489701	0.925950093236961	0.110504696074779	0.594269698891034	TRUE
E7.67	1	E7.11.843	1.45973932272047	1.05374411524679	0.159160366257709	0.732659065150882	FALSE
E7.68	10	E7.11.843	2.39482001760814	1.09471200319193	0.0260338786276897	0.286372664904587	FALSE
E7.69	11	E7.11.843	-0.193727003425218	0.980924946485341	0.848251264561552	0.999651306310259	TRUE
E7.70	12	E7.11.843	-0.210336257157033	0.984686453014058	0.835432662006819	0.999651306310259	TRUE
E7.71	13	E7.11.843	-0.460153278154078	0.955715534038099	0.650135169400168	0.999651306310259	TRUE
E7.72	14	E7.11.843	0.423776709074072	1.00477015205984	0.676037793337712	0.999651306310259	FALSE
E7.73	15	E7.11.843	0.215185184511811	0.981032308733659	0.831699038968974	0.999651306310259	FALSE
E7.74	16	E7.11.843	0.369495583430965	1.01887450914895	0.71545811150873	0.999651306310259	FALSE
E7.75	17	E7.11.843	0.35444333211692	1.00996539958236	0.726541087911937	0.999651306310259	FALSE
E7.76	18	E7.11.843	-1.08620094161305	0.964053927252711	0.289701611039785	0.851409344994774	TRUE
E7.77	19	E7.11.843	0.383453447154154	1.04122469354842	0.70523804975808	0.999651306310259	FALSE
E7.78	2	E7.11.843	-1.36101035896831	0.970505357014996	0.187938106837028	0.7631129201031	TRUE
E7.79	20	E7.11.843	-0.294135406296631	0.97838424028467	0.771542083591416	0.999651306310259	TRUE
E7.80	21	E7.11.843	-0.522441312638782	0.951077746645499	0.606831232652291	0.999651306310259	TRUE
E7.81	22	E7.11.843	0.562480269927485	1.02532402867867	0.579744420315868	0.999651306310259	FALSE
E7.82	3	E7.11.843	0.480432285928588	1.01102275038652	0.635886928991854	0.999651306310259	FALSE
E7.83	4	E7.11.843	1.09824562207948	1.04731654718428	0.284530136740865	0.851409344994774	FALSE
E7.84	5	E7.11.843	1.10281982099144	1.0473478260721	0.282583822519786	0.851409344994774	FALSE
E7.85	6	E7.11.843	0.542597948035381	1.0544635628813	0.593119065243906	0.999651306310259	FALSE
E7.86	7	E7.11.843	-0.155294964250308	0.995229847940155	0.878071795498115	0.999651306310259	TRUE
E7.87	8	E7.11.843	-0.229719704866966	0.994944747593894	0.820532340960144	0.999651306310259	TRUE
E7.88	9	E7.11.843	-1.08718635006516	0.959147230316386	0.289275984302585	0.851409344994774	TRUE
E7.89	1	E7.11.844	0.0328377469414429	0.997154708531621	0.974114090473706	0.999651306310259	FALSE
E7.90	10	E7.11.844	-0.37000806050933	0.982273926169664	0.715081888116318	0.999651306310259	TRUE
E7.91	11	E7.11.844	0.725459971175487	1.03440472062208	0.476177306117327	0.999651306310259	FALSE
E7.92	12	E7.11.844	0.835053341654495	1.03324176926781	0.413087466533721	0.999651306310259	FALSE
E7.93	13	E7.11.844	-0.0783398173795619	0.992971796684116	0.938299418177913	0.999651306310259	TRUE
E7.94	14	E7.11.844	-0.142783352964706	0.983865784549384	0.88782240480786	0.999651306310259	TRUE
E7.95	15	E7.11.844	-0.307033057908202	0.924330334683502	0.761842121264655	0.999651306310259	TRUE
