chr	cell	z	score	p	p.adj	monosomy
E5.1	1	E5.1.26	1.02054067699419	1.02664835094744	0.316209358298702	0.972985542151777	FALSE
E5.2	10	E5.1.26	0.856455497713176	1.06570604851962	0.3990165369774	0.972985542151777	FALSE
E5.3	11	E5.1.26	-0.356421465384977	0.973351649052556	0.724196790913225	1	TRUE
E5.4	12	E5.1.26	-0.770220829383088	0.950944427573256	0.447619126975276	0.972985542151777	TRUE
E5.5	13	E5.1.26	5.02464883256871	1.31943246131688	2.59258725519105e-05	0.00275678444801982	FALSE
E5.6	14	E5.1.26	7.96691959431314	1.36137380927385	1.12162210564018e-08	3.57797451699219e-06	FALSE
E5.7	15	E5.1.26	2.76156598306506	1.27274860686858	0.010040729356235	0.160149633231948	FALSE
E5.8	16	E5.1.26	-3.07529932491584	0.704047407224888	0.00465869437254698	0.0874190296966169	TRUE
E5.9	17	E5.1.26	-1.92879169461655	0.86394913173063	0.0639504414439018	0.593350151191389	TRUE
E5.10	18	E5.1.26	1.08386328535562	1.13095437379873	0.287670567529696	0.972985542151777	FALSE
E5.11	19	E5.1.26	-4.31663953253327	0.437464340372424	0.000178848926978975	0.0103732377647805	TRUE
E5.12	2	E5.1.26	2.57725597969282	1.16675661213429	0.0155173068300755	0.225000949036095	FALSE
E5.13	20	E5.1.26	-1.75389220987943	0.923112813747618	0.0903902988971637	0.739346290979364	TRUE
E5.14	21	E5.1.26	0.667694878460325	1.1030539727951	0.509794748882392	0.972985542151777	FALSE
E5.15	22	E5.1.26	-1.8741331157285	0.727320598832286	0.0713819440252475	0.637675812399679	TRUE
E5.16	3	E5.1.26	4.88968908096527	1.18891611404919	3.749726942036e-05	0.0034176082700271	FALSE
E5.17	4	E5.1.26	4.04681063253874	1.50029134715705	0.000370594991413668	0.0168885431801372	FALSE
E5.18	5	E5.1.26	3.49091739642532	1.19874872390875	0.0016141374097843	0.0411927866976953	FALSE
E5.19	6	E5.1.26	-1.03181638150094	0.939086973308048	0.310988760622761	0.972985542151777	TRUE
E5.20	7	E5.1.26	-1.67091453298061	0.904368299635709	0.105880608010426	0.767634408075585	TRUE
E5.21	8	E5.1.26	-0.860821633043036	0.925819181059137	0.396647923969626	0.972985542151777	TRUE
E5.22	9	E5.1.26	-2.49887114947756	0.735522664267531	0.01859905482857	0.259821435917331	TRUE
E5.23	1	E5.1.31	-3.71187536623039	0.863904104673521	0.000904735516495973	0.0288610629762215	TRUE
E5.24	10	E5.1.31	1.97266197478986	1.15187383230122	0.0584820264393393	0.592246553465055	FALSE
E5.25	11	E5.1.31	-0.292785347483572	0.97970855215125	0.771845068331273	1	TRUE
E5.26	12	E5.1.31	-1.92397369999708	0.875811354949321	0.0645773263373674	0.593350151191389	TRUE
E5.27	13	E5.1.31	11.275615991652	1.7466871701574	6.37775586355321e-12	4.06900824094695e-09	FALSE
E5.28	14	E5.1.31	1.48361632184215	1.06762921960747	0.149081050977804	0.897299155885274	FALSE
E5.29	15	E5.1.31	3.96502567289557	1.3823448788444	0.000461483060372137	0.0196284128344949	FALSE
E5.30	16	E5.1.31	-3.3848640442124	0.673555464075544	0.00212378399979221	0.0521143919949013	TRUE
E5.31	17	E5.1.31	-3.24134560379989	0.786694682704427	0.00306618452620303	0.0652075242572512	TRUE
E5.32	18	E5.1.31	0.210655092112772	1.02029144784875	0.834681964234404	1	FALSE
E5.33	19	E5.1.31	-5.16863842704645	0.334587510748603	1.74905117567296e-05	0.0022317893001587	TRUE
E5.34	2	E5.1.31	0.674490759476595	1.05602568270978	0.505530660480178	0.972985542151777	FALSE
E5.35	20	E5.1.31	0.728638303029101	1.07752193888403	0.472273649969168	0.972985542151777	FALSE
E5.36	21	E5.1.31	-3.53215160306511	0.524335648109461	0.00144986897463777	0.0385423502424539	TRUE
E5.37	22	E5.1.31	-2.98837502821541	0.579097923180707	0.00578118130040835	0.102455379712792	TRUE
E5.38	3	E5.1.31	4.16288558073036	1.15849853452672	0.000271112710773134	0.0135595171302611	FALSE
E5.39	4	E5.1.31	5.22067290169877	1.64765315518421	1.51729299483254e-05	0.0022317893001587	FALSE
E5.40	5	E5.1.31	4.6454160660259	1.27108817758094	7.30906489705077e-05	0.00582897925539799	FALSE
E5.41	6	E5.1.31	-1.25464326475858	0.919269292739797	0.219980489147645	0.97088759349665	TRUE
E5.42	7	E5.1.31	-1.17581521466555	0.932377964272514	0.249569851619828	0.97088759349665	TRUE
E5.43	8	E5.1.31	5.42103569253091	1.45691865217284	8.78356463227194e-06	0.0018679714117965	FALSE
E5.44	9	E5.1.31	-2.78308996628166	0.697778736436585	0.00953533339842073	0.155988274569037	TRUE
E5.45	1	E5.14.1782	0.674490759476595	1.01474795324674	0.505530660480178	0.972985542151777	FALSE
E5.46	10	E5.14.1782	-1.53937135186088	0.880755419588584	0.134939686633081	0.861741079746894	TRUE
E5.47	11	E5.14.1782	-0.0225374227784493	1.00670485435553	0.98217910834582	1	TRUE
E5.48	12	E5.14.1782	-1.25681237304431	0.919257297062686	0.219205433877891	0.97088759349665	TRUE
E5.49	13	E5.14.1782	3.86946099015795	1.24047516835652	0.000595657078813903	0.0223546597813688	FALSE
E5.50	14	E5.14.1782	-0.119590207289169	0.994991364449618	0.905661726374408	1	TRUE
E5.51	15	E5.14.1782	-2.10008475454659	0.830009393421615	0.0448551863291651	0.50439195824098	TRUE
E5.52	16	E5.14.1782	0.317774925174263	1.03826322926803	0.753013499292506	1	FALSE
E5.53	17	E5.14.1782	-0.272289125978799	0.961447750534197	0.787397635611321	1	TRUE
E5.54	18	E5.14.1782	0	0.993594826081048	1	1	FALSE
E5.55	19	E5.14.1782	0.410479702734226	1.00825268682441	0.684578329392584	1	FALSE
