ngenes	zeros	residual
ENSG00000000419	2993	0.00671140939597315	0.104684696462877
ENSG00000001630	2993	0.0134228187919463	0.104684696462877
ENSG00000002549	2993	0.0335570469798658	0.104684696462877
ENSG00000002834	2993	0	0.104684696462877
ENSG00000003056	2993	0.0335570469798658	0.104684696462877
ENSG00000003402	2993	0	0.104684696462877
ENSG00000003509	2993	0.00671140939597315	0.104684696462877
ENSG00000003756	2993	0	0.104684696462877
ENSG00000003989	2993	0.00671140939597315	0.104684696462877
ENSG00000004059	2993	0	0.104684696462877
ENSG00000004142	2993	0	0.104684696462877
ENSG00000004455	2993	0	0.104684696462877
ENSG00000004478	2993	0	0.104684696462877
ENSG00000004487	2993	0.0134228187919463	0.104684696462877
ENSG00000004534	2993	0	0.104684696462877
ENSG00000004779	2993	0	0.104684696462877
ENSG00000004897	2993	0.0134228187919463	0.104684696462877
ENSG00000005075	2993	0	0.104684696462877
ENSG00000005156	2993	0.0134228187919463	0.104684696462877
ENSG00000005194	2993	0	0.104684696462877
ENSG00000005339	2993	0.0134228187919463	0.104684696462877
ENSG00000006007	2993	0	0.104684696462877
ENSG00000006125	2993	0	0.104684696462877
ENSG00000006327	2993	0.0268456375838926	0.104684696462877
ENSG00000006451	2993	0.00671140939597315	0.104684696462877
ENSG00000006453	2993	0	0.104684696462877
ENSG00000006634	2993	0.00671140939597315	0.104684696462877
ENSG00000006652	2993	0.0201342281879195	0.104684696462877
ENSG00000006712	2993	0.00671140939597315	0.104684696462877
ENSG00000006744	2993	0	0.104684696462877
ENSG00000007062	2993	0	0.104684696462877
ENSG00000007080	2993	0	0.104684696462877
ENSG00000007168	2993	0.00671140939597315	0.104684696462877
ENSG00000007202	2993	0.0201342281879195	0.104684696462877
ENSG00000007392	2993	0.00671140939597315	0.104684696462877
ENSG00000007923	2993	0.00671140939597315	0.104684696462877
ENSG00000008018	2993	0	0.104684696462877
ENSG00000008324	2993	0.0201342281879195	0.104684696462877
ENSG00000008394	2993	0.00671140939597315	0.104684696462877
ENSG00000008952	2993	0	0.104684696462877
ENSG00000008988	2993	0	0.104684696462877
ENSG00000009307	2993	0	0.104684696462877
