chr	cell	z	score	p	p.adj	monosomy
E5.2	10	E5.1.28	2.89566783331342	1.20303364975781	0.00435724702085056	0.0661252580293895	FALSE
E5.8	16	E5.1.28	-2.95062500775442	0.66628153895928	0.00368808815277064	0.0613682891613307	TRUE
E5.10	18	E5.1.28	3.18698566737691	1.23810711442989	0.00175408473615813	0.0363882624682957	FALSE
E5.17	4	E5.1.28	2.87025228813761	1.37633891025715	0.00470284103457899	0.0694410491502249	FALSE
E5.25	11	E5.1.30	-3.72556465561455	0.744633347620127	0.000276592633569268	0.00839509863740795	TRUE
E5.30	16	E5.1.30	-2.93089911805944	0.668550527620008	0.00391658041723537	0.0623230612024153	TRUE
E5.31	17	E5.1.30	-2.79735734640819	0.694493673313127	0.00583765781112922	0.0821280785617235	TRUE
E5.32	18	E5.1.30	4.20029050180488	1.32189086305348	4.58609479686112e-05	0.00203151604650145	FALSE
E5.42	7	E5.1.30	-3.18506296939034	0.774027715260903	0.00176501944248292	0.0363882624682957	TRUE
E5.43	8	E5.1.30	3.04620300049026	1.27953663964815	0.00274468498860655	0.0497076099041562	FALSE
E5.46	10	E5.1.32	2.93339830217045	1.20581501859402	0.00388692973545929	0.0621529545016368	FALSE
E5.47	11	E5.1.32	-5.46929187291543	0.623849573306094	1.87890875743923e-07	1.5022104650941e-05	TRUE
E5.49	13	E5.1.32	4.55796261875422	1.55786445523777	1.07370515828208e-05	0.000651778797934938	FALSE
E5.50	14	E5.1.32	3.81411963524745	1.21085697157186	0.000200141207032941	0.00643198898680373	FALSE
E5.51	15	E5.1.32	3.41106971009238	1.23553740408065	0.000834391299542527	0.0201112844110324	FALSE
E5.52	16	E5.1.32	-4.48138089068787	0.490204931291625	1.47521630654489e-05	0.000848378781202484	TRUE
E5.53	17	E5.1.32	-3.16063298973283	0.655396422385888	0.00190958078942574	0.0384131826856346	TRUE
E5.55	19	E5.1.32	-3.16054634562334	0.180660554427948	0.0019101125008415	0.0384131826856346	TRUE
E5.57	20	E5.1.32	-5.84867818334142	0.533781064916228	3.05566436000006e-08	2.94601993296476e-06	TRUE
E5.59	22	E5.1.32	-3.97954130756258	0.352161503615783	0.000107790418643163	0.00410856967804988	TRUE
E5.62	5	E5.1.32	3.76844131843534	1.20272649955042	0.00023665042836451	0.00745903946325831	FALSE
E5.65	8	E5.1.32	3.5082532723901	1.31865946044137	0.000597683227307573	0.0156736449529138	FALSE
E5.80	21	E5.13.1750	2.75761520515956	1.80054599236674	0.006556498474946	0.0903033697515671	FALSE
E5.124	21	E5.13.1752	3.02817934111327	1.87894411184542	0.00290347684857645	0.0522944896133714	FALSE
E5.212	21	E5.13.1756	2.92472281623651	1.84896675742057	0.00399074921383815	0.0624776509185228	FALSE
E5.234	21	E5.13.1757	3.05070039755934	1.88546976783387	0.00270633136708895	0.0493081947957928	FALSE
