chr	cell	z	score	p	p.adj	monosomy
lateICME7.1	1	E7.16.1102	-0.674490759476595	0.974579916040493	0.500502038268461	0.997513973971704	TRUE
lateICME7.2	10	E7.16.1102	0.283353166405997	1.01402652257634	0.777095257550781	1	FALSE
lateICME7.3	11	E7.16.1102	0.284582819075682	1.02484612308631	0.776153784754478	1	FALSE
lateICME7.4	12	E7.16.1102	-0.187740010989195	0.987794210539696	0.851203288166942	1	TRUE
lateICME7.5	13	E7.16.1102	0.87837226953945	1.25210509946728	0.380422014559616	0.956885769829732	FALSE
lateICME7.6	14	E7.16.1102	0.674490759476595	1.02050038818343	0.500502038268461	0.997513973971704	FALSE
lateICME7.7	15	E7.16.1102	-0.109018848660688	0.994586729998069	0.913258073486754	1	TRUE
lateICME7.8	16	E7.16.1102	1.54299902931641	1.08729416933768	0.123851177262086	0.67199821952989	FALSE
lateICME7.9	17	E7.16.1102	0.290803487700594	1.01349138393401	0.771396074647862	1	FALSE
lateICME7.10	18	E7.16.1102	-0.899632135391685	0.905224223527976	0.369014335536747	0.953147628903773	TRUE
lateICME7.11	19	E7.16.1102	0.237915951802372	1.02370242734637	0.812103456522859	1	FALSE
lateICME7.12	2	E7.16.1102	-1.48306344761234	0.925426625514809	0.139073463986574	0.70131928185868	TRUE
lateICME7.13	20	E7.16.1102	0.453058912502517	1.01287871071463	0.650823258135258	1	FALSE
lateICME7.14	21	E7.16.1102	2.31490579879165	1.3437811681778	0.0212710329963693	0.229552693629588	FALSE
lateICME7.15	22	E7.16.1102	0.0415264984742263	1.00032243257351	0.966902900957295	1	FALSE
lateICME7.16	3	E7.16.1102	-0.836066600751372	0.958493209230257	0.403761399772777	0.964572450155496	TRUE
lateICME7.17	4	E7.16.1102	-1.40844173572059	0.821948465842674	0.160002435276506	0.737196405496199	TRUE
lateICME7.18	5	E7.16.1102	-2.81197774147903	0.81374586668833	0.00523765391925948	0.0798129802128583	TRUE
lateICME7.19	6	E7.16.1102	2.53941490320196	1.26782169834008	0.0115921577662884	0.146605440733725	FALSE
lateICME7.20	7	E7.16.1102	-0.0389112501196458	0.999677567426492	0.968986193492978	1	TRUE
lateICME7.21	8	E7.16.1102	-1.13178138484767	0.944624306942735	0.258601075558532	0.879835185962942	TRUE
lateICME7.22	9	E7.16.1102	-1.05246340554532	0.943655933934945	0.293406660841049	0.908580693089084	TRUE
lateICME7.23	1	E7.16.1103	-0.408199218730594	0.983227462089187	0.683409220039857	1	TRUE
lateICME7.24	10	E7.16.1103	-0.287760926151728	0.98119066704256	0.773722028493334	1	TRUE
lateICME7.25	11	E7.16.1103	1.15847717080903	1.08824798519887	0.247561030661315	0.869128782816703	FALSE
lateICME7.26	12	E7.16.1103	0.416668044589266	1.00882589544519	0.677209588358134	1	FALSE
lateICME7.27	13	E7.16.1103	-0.463028567901153	1.02435402929819	0.643668768271013	1	TRUE
lateICME7.28	14	E7.16.1103	0.403220177947123	1.00427917328177	0.687064215460143	1	FALSE
lateICME7.29	15	E7.16.1103	-0.704844496273676	0.959465051456219	0.481436226294776	0.997513973971704	TRUE
lateICME7.30	16	E7.16.1103	2.44565292318614	1.14971826201809	0.0150149233846388	0.181222180445553	FALSE
lateICME7.31	17	E7.16.1103	1.43264052655676	1.09738641778285	0.15296821551685	0.725807507317829	FALSE
lateICME7.32	18	E7.16.1103	-0.997465702673248	0.895176218250589	0.319316456401762	0.928690375346972	TRUE
lateICME7.33	19	E7.16.1103	1.60197930767142	1.18098935178766	0.110178634348861	0.64107401503564	FALSE
lateICME7.34	2	E7.16.1103	-1.28389950419988	0.935249019737564	0.200135895110293	0.802184999616068	TRUE
lateICME7.35	20	E7.16.1103	-0.418057739003923	0.966676576161398	0.676194339562251	1	TRUE
lateICME7.36	21	E7.16.1103	5.32442717819743	1.76828955545028	1.94821696607417e-07	1.77729339758393e-05	FALSE
lateICME7.37	22	E7.16.1103	1.59468469699423	1.17898294885424	0.11180173731534	0.644437646766267	FALSE
