chr	cell	z	score	p	p.adj	monosomy
lateICME7.36	21	E7.16.1103	5.32442717819743	1.76828955545028	1.94821696607417e-07	1.77729339758393e-05	FALSE
lateICME7.74	16	E7.16.1105	3.5396684146201	1.22537619125862	0.000462040995480938	0.012695921650926	FALSE
lateICME7.80	21	E7.16.1105	3.74557106986899	1.54558382394485	0.000214559389909881	0.00679636734149725	FALSE
lateICME7.161	15	E7.16.1110	4.26976859391523	1.25269976285821	2.60459422459307e-05	0.00123754400587957	FALSE
lateICME7.173	6	E7.16.1110	8.86629109358119	1.84238910847534	6.07856510966211e-17	4.15895424803082e-14	FALSE
lateICME7.261	6	E7.16.1114	5.56907381440054	1.5429564128217	5.55671595184439e-08	6.03476992738401e-06	FALSE
lateICME7.265	1	E7.16.1115	-9.71771578314459	0.680910411550084	1.16677787270716e-19	9.97886775632797e-17	TRUE
lateICME7.441	1	E7.16.1124	6.81895061589525	1.21792177802822	4.80377897240351e-11	1.09558185763949e-08	FALSE
lateICME7.481	6	E7.16.1125	7.00108266987862	1.67300252003555	1.57936175436471e-11	4.1561512012936e-09	FALSE
lateICME7.547	6	E7.16.1128	3.05848006919619	1.31495995727586	0.00241866122402685	0.044485161545139	FALSE
lateICME7.591	6	E7.16.1130	5.51329751994223	1.53789115785392	7.42470320514686e-08	7.93747177025231e-06	FALSE
lateICME7.635	6	E7.16.1132	3.15042131803256	1.32330948769797	0.00178944813055623	0.0350813871325665	FALSE
lateICME7.645	15	E7.16.1133	3.39669487685572	1.20123535450863	0.000770983692093939	0.0183162167406484	FALSE
lateICME7.657	6	E7.16.1133	3.22467598482104	1.33005283311889	0.00139567667347404	0.029202507033362	FALSE
lateICME7.723	6	E7.16.1136	4.31003824336675	1.42861865979011	2.19494864598407e-05	0.00110425284086934	FALSE
lateICME7.767	6	E7.16.1139	5.02110031542183	1.49319287949862	8.68389876578818e-07	6.38873498446481e-05	FALSE
lateICME7.789	6	E7.16.1141	5.32692318056763	1.5209658034977	1.92386232524228e-07	1.77729339758393e-05	FALSE
lateICME7.811	6	E7.16.1142	4.98994131677823	1.49036321370237	1.00856787592312e-06	7.26381200743788e-05	FALSE
lateICME7.817	11	E7.16.1143	4.30619642373759	1.31661799542649	2.23119929898271e-05	0.00111429675938976	FALSE
lateICME7.822	16	E7.16.1143	8.19508945289115	1.54732731375752	6.6695145107852e-15	3.51021679098403e-12	FALSE
lateICME7.823	17	E7.16.1143	3.71109412362924	1.26479291726099	0.000244559274471577	0.00760579343606604	FALSE
lateICME7.825	19	E7.16.1143	6.86595787174562	1.78796628955652	3.61198855614142e-11	8.82615203611414e-09	FALSE
lateICME7.826	2	E7.16.1143	-4.42518317916963	0.780326767785771	1.33615122493614e-05	0.000719838321339613	TRUE
lateICME7.828	21	E7.16.1143	2.71922500601846	1.40081246085366	0.00691227188603914	0.0979166961579292	FALSE
lateICME7.829	22	E7.16.1143	4.19770687426265	1.47840981118168	3.52637763900351e-05	0.00156671920818584	FALSE
lateICME7.832	5	E7.16.1143	-3.17778787486312	0.790329911400987	0.00163370517899121	0.032937511421886	TRUE
lateICME7.865	15	E7.16.1146	4.02126371252275	1.23805133576328	7.27622382428841e-05	0.00282863201169212	FALSE
lateICME7.877	6	E7.16.1146	12.9148338550427	2.21005249547382	7.96850955015798e-31	1.81735141140603e-27	FALSE
lateICME7.899	6	E7.16.1147	7.89230469172731	1.753937742022	5.15464048338122e-14	2.35120334581962e-11	FALSE
lateICME7.921	6	E7.16.1148	7.87119099184862	1.75202032756775	5.93389783670879e-14	2.5374830624226e-11	FALSE
lateICME7.943	6	E7.16.1149	3.06695930000282	1.31572998809959	0.00235307737961943	0.0437138288640718	FALSE
lateICME7.954	16	E7.16.1150	3.24166979880376	1.20476774616278	0.0013176523716396	0.027911385531759	FALSE
lateICME7.976	16	E7.16.1152	3.51017251412153	1.22333636753557	0.000514230743274252	0.0137436200995408	FALSE
lateICME7.983	22	E7.16.1152	3.03294618753345	1.34442684290914	0.00262644400405255	0.0470422248055694	FALSE
lateICME7.1111	19	E7.16.1158	3.22252767740656	1.36785095750948	0.0014058394922367	0.0293254689203766	FALSE
