cell	contig	allelic_ratio	min_count_sum	total_reads
E3.1.443	chr1	0.254509018036072	635	2495
E3.1.443	chr10	0.213235294117647	203	952
E3.1.443	chr11	0.27373935821873	418	1527
E3.1.443	chr12	0.269315673289183	366	1359
E3.1.443	chr13	0.226299694189602	74	327
E3.1.443	chr14	0.258028792912514	233	903
E3.1.443	chr15	0.29242819843342	224	766
E3.1.443	chr16	0.26648160999306	384	1441
E3.1.443	chr17	0.262305699481865	405	1544
E3.1.443	chr18	0.244224422442244	74	303
E3.1.443	chr19	0.295454545454545	884	2992
E3.1.443	chr2	0.271372549019608	346	1275
E3.1.443	chr20	0.277864992150706	177	637
E3.1.443	chr21	0.172619047619048	29	168
E3.1.443	chr22	0.292291220556745	273	934
E3.1.443	chr3	0.236166007905138	239	1012
E3.1.443	chr4	0.269874476987448	258	956
E3.1.443	chr5	0.308333333333333	518	1680
E3.1.443	chr6	0.306887052341598	557	1815
E3.1.443	chr7	0.266666666666667	412	1545
E3.1.443	chr8	0.234626300851466	248	1057
E3.1.443	chr9	0.280799112097669	253	901
E3.1.443	chrX	0.264957264957265	31	117
E3.1.444	chr1	0.254530477759473	309	1214
E3.1.444	chr10	0.192377495462795	106	551
E3.1.444	chr11	0.251700680272109	185	735
E3.1.444	chr12	0.238161559888579	171	718
E3.1.444	chr13	0.270042194092827	64	237
E3.1.444	chr14	0.252566735112936	123	487
E3.1.444	chr15	0.256997455470738	101	393
E3.1.444	chr16	0.221251819505095	152	687
E3.1.444	chr17	0.239417989417989	181	756
E3.1.444	chr18	0.208955223880597	42	201
E3.1.444	chr19	0.287913340935006	505	1754
E3.1.444	chr2	0.240768094534712	163	677
E3.1.444	chr20	0.229357798165138	75	327
E3.1.444	chr21	0.170731707317073	14	82
E3.1.444	chr22	0.200811359026369	99	493
E3.1.444	chr3	0.205179282868526	103	502
E3.1.444	chr4	0.228070175438597	91	399
E3.1.444	chr5	0.280936454849498	252	897
E3.1.444	chr6	0.313405797101449	346	1104
E3.1.444	chr7	0.219086021505376	163	744
E3.1.444	chr8	0.230897009966777	139	602
E3.1.444	chr9	0.279342723004695	119	426
E3.1.444	chrX	0.372881355932203	22	59
E3.1.445	chr1	0.271659324522761	925	3405
E3.1.445	chr10	0.203751065643649	239	1173
E3.1.445	chr11	0.154074074074074	208	1350
E3.1.445	chr12	0.180284191829485	203	1126
E3.1.445	chr13	0.214953271028037	46	214
E3.1.445	chr14	0.154279279279279	137	888
E3.1.445	chr15	0.168674698795181	56	332
E3.1.445	chr16	0.154054054054054	228	1480
E3.1.445	chr17	0.160194174757282	198	1236
E3.1.445	chr18	0.269320843091335	115	427
E3.1.445	chr19	0.169071402145764	457	2703
E3.1.445	chr2	0.144747081712062	186	1285
E3.1.445	chr20	0.178723404255319	84	470
E3.1.445	chr21	0.171296296296296	37	216
E3.1.445	chr22	0.144	108	750
E3.1.445	chr3	0.173633440514469	162	933
E3.1.445	chr4	0.148886283704572	127	853
E3.1.445	chr5	0.187652811735941	307	1636
E3.1.445	chr6	0.314967860422406	686	2178
E3.1.445	chr7	0.144721233689205	244	1686
